threshold=(0, 0), ssim=0.974450, orig=2129912, zlib=209826, bz2=0, lzma=0, jpeg=408639
threshold=(0, 10), ssim=0.973971, orig=2129912, zlib=204762, bz2=0, lzma=0, jpeg=402387
threshold=(0, 20), ssim=0.972440, orig=2129912, zlib=195473, bz2=0, lzma=0, jpeg=395437
threshold=(0, 30), ssim=0.970041, orig=2129912, zlib=183539, bz2=0, lzma=0, jpeg=387447
threshold=(0, 40), ssim=0.966997, orig=2129912, zlib=171080, bz2=0, lzma=0, jpeg=378315
threshold=(0, 50), ssim=0.963303, orig=2129912, zlib=156411, bz2=0, lzma=0, jpeg=368314
threshold=(0, 60), ssim=0.959248, orig=2129912, zlib=140696, bz2=0, lzma=0, jpeg=357574
threshold=(0, 70), ssim=0.954687, orig=2129912, zlib=125193, bz2=0, lzma=0, jpeg=345872
threshold=(0, 80), ssim=0.949864, orig=2129912, zlib=107452, bz2=0, lzma=0, jpeg=333301
threshold=(0, 90), ssim=0.944389, orig=2129912, zlib=88553, bz2=0, lzma=0, jpeg=319213
threshold=(0, 100), ssim=0.938364, orig=2129912, zlib=66881, bz2=0, lzma=0, jpeg=302706
threshold=(10, 10), ssim=0.973608, orig=2126640, zlib=203424, bz2=0, lzma=0, jpeg=399442
threshold=(10, 20), ssim=0.972111, orig=2126640, zlib=194446, bz2=0, lzma=0, jpeg=392750
threshold=(10, 30), ssim=0.969727, orig=2126640, zlib=182759, bz2=0, lzma=0, jpeg=384834
threshold=(10, 40), ssim=0.966689, orig=2126640, zlib=170019, bz2=0, lzma=0, jpeg=375776
threshold=(10, 50), ssim=0.962997, orig=2126640, zlib=155362, bz2=0, lzma=0, jpeg=365823
threshold=(10, 60), ssim=0.958949, orig=2126640, zlib=139383, bz2=0, lzma=0, jpeg=355147
threshold=(10, 70), ssim=0.954399, orig=2126640, zlib=124078, bz2=0, lzma=0, jpeg=343511
threshold=(10, 80), ssim=0.949589, orig=2126640, zlib=106199, bz2=0, lzma=0, jpeg=331021
threshold=(10, 90), ssim=0.944121, orig=2126640, zlib=87154, bz2=0, lzma=0, jpeg=317076
threshold=(10, 100), ssim=0.938101, orig=2126640, zlib=65417, bz2=0, lzma=0, jpeg=300636
threshold=(20, 20), ssim=0.971502, orig=2123360, zlib=192140, bz2=0, lzma=0, jpeg=389631
threshold=(20, 30), ssim=0.969173, orig=2123360, zlib=181264, bz2=0, lzma=0, jpeg=382047
threshold=(20, 40), ssim=0.966152, orig=2123360, zlib=168083, bz2=0, lzma=0, jpeg=373130
threshold=(20, 50), ssim=0.962473, orig=2123360, zlib=153351, bz2=0, lzma=0, jpeg=363244
threshold=(20, 60), ssim=0.958430, orig=2123360, zlib=137297, bz2=0, lzma=0, jpeg=352650
threshold=(20, 70), ssim=0.953880, orig=2123360, zlib=121992, bz2=0, lzma=0, jpeg=341129
threshold=(20, 80), ssim=0.949071, orig=2123360, zlib=104457, bz2=0, lzma=0, jpeg=328681
threshold=(20, 90), ssim=0.943607, orig=2123360, zlib=85598, bz2=0, lzma=0, jpeg=314836
threshold=(20, 100), ssim=0.937589, orig=2123360, zlib=63376, bz2=0, lzma=0, jpeg=298471
threshold=(30, 30), ssim=0.968008, orig=2120088, zlib=178209, bz2=0, lzma=0, jpeg=378774
threshold=(30, 40), ssim=0.965019, orig=2120088, zlib=165289, bz2=0, lzma=0, jpeg=370206
threshold=(30, 50), ssim=0.961368, orig=2120088, zlib=150931, bz2=0, lzma=0, jpeg=360464
threshold=(30, 60), ssim=0.957341, orig=2120088, zlib=134190, bz2=0, lzma=0, jpeg=349972
threshold=(30, 70), ssim=0.952795, orig=2120088, zlib=119423, bz2=0, lzma=0, jpeg=338526
threshold=(30, 80), ssim=0.947994, orig=2120088, zlib=101945, bz2=0, lzma=0, jpeg=326174
threshold=(30, 90), ssim=0.942531, orig=2120088, zlib=83212, bz2=0, lzma=0, jpeg=312401
threshold=(30, 100), ssim=0.936514, orig=2120088, zlib=60420, bz2=0, lzma=0, jpeg=296145
threshold=(40, 40), ssim=0.962918, orig=2116808, zlib=160782, bz2=0, lzma=0, jpeg=366699
threshold=(40, 50), ssim=0.959315, orig=2116808, zlib=147557, bz2=0, lzma=0, jpeg=357316
threshold=(40, 60), ssim=0.955332, orig=2116808, zlib=130814, bz2=0, lzma=0, jpeg=346986
threshold=(40, 70), ssim=0.950815, orig=2116808, zlib=116117, bz2=0, lzma=0, jpeg=335662
threshold=(40, 80), ssim=0.946021, orig=2116808, zlib=98160, bz2=0, lzma=0, jpeg=323402
threshold=(40, 90), ssim=0.940570, orig=2116808, zlib=79717, bz2=0, lzma=0, jpeg=309736
threshold=(40, 100), ssim=0.934555, orig=2116808, zlib=57446, bz2=0, lzma=0, jpeg=293538
threshold=(50, 50), ssim=0.956271, orig=2113536, zlib=142285, bz2=0, lzma=0, jpeg=353628
threshold=(50, 60), ssim=0.952334, orig=2113536, zlib=126341, bz2=0, lzma=0, jpeg=343642
threshold=(50, 70), ssim=0.947848, orig=2113536, zlib=111422, bz2=0, lzma=0, jpeg=332482
threshold=(50, 80), ssim=0.943066, orig=2113536, zlib=93344, bz2=0, lzma=0, jpeg=320374
threshold=(50, 90), ssim=0.937621, orig=2113536, zlib=75014, bz2=0, lzma=0, jpeg=306814
threshold=(50, 100), ssim=0.931605, orig=2113536, zlib=53262, bz2=0, lzma=0, jpeg=290674
threshold=(60, 60), ssim=0.947707, orig=2110256, zlib=121343, bz2=0, lzma=0, jpeg=339651
threshold=(60, 70), ssim=0.943278, orig=2110256, zlib=105678, bz2=0, lzma=0, jpeg=328882
threshold=(60, 80), ssim=0.938518, orig=2110256, zlib=88773, bz2=0, lzma=0, jpeg=316963
threshold=(60, 90), ssim=0.933090, orig=2110256, zlib=69304, bz2=0, lzma=0, jpeg=303551
threshold=(60, 100), ssim=0.927081, orig=2110256, zlib=47556, bz2=0, lzma=0, jpeg=287509
threshold=(70, 70), ssim=0.936939, orig=2106984, zlib=98193, bz2=0, lzma=0, jpeg=324618
threshold=(70, 80), ssim=0.932226, orig=2106984, zlib=82699, bz2=0, lzma=0, jpeg=313088
threshold=(70, 90), ssim=0.926826, orig=2106984, zlib=62989, bz2=0, lzma=0, jpeg=299858
threshold=(70, 100), ssim=0.920819, orig=2106984, zlib=40699, bz2=0, lzma=0, jpeg=283980
threshold=(80, 80), ssim=0.923904, orig=2103704, zlib=74393, bz2=0, lzma=0, jpeg=308391
threshold=(80, 90), ssim=0.918523, orig=2103704, zlib=57022, bz2=0, lzma=0, jpeg=295594
threshold=(80, 100), ssim=0.912524, orig=2103704, zlib=33738, bz2=0, lzma=0, jpeg=279890
threshold=(90, 90), ssim=0.906487, orig=2100432, zlib=47143, bz2=0, lzma=0, jpeg=290092
threshold=(90, 100), ssim=0.900475, orig=2100432, zlib=25925, bz2=0, lzma=0, jpeg=274782
threshold=(100, 100), ssim=0.883526, orig=2097152, zlib=12164, bz2=0, lzma=0, jpeg=266347
