threshold=(0, 0), ssim=0.975959, orig=2129912, zlib=218103, bz2=0, lzma=0, jpeg=420134
threshold=(0, 10), ssim=0.975887, orig=2129912, zlib=215766, bz2=0, lzma=0, jpeg=414331
threshold=(0, 20), ssim=0.975762, orig=2129912, zlib=213252, bz2=0, lzma=0, jpeg=409282
threshold=(0, 30), ssim=0.975610, orig=2129912, zlib=210755, bz2=0, lzma=0, jpeg=406688
threshold=(0, 40), ssim=0.975470, orig=2129912, zlib=207048, bz2=0, lzma=0, jpeg=403008
threshold=(0, 50), ssim=0.974439, orig=2129912, zlib=200113, bz2=0, lzma=0, jpeg=397356
threshold=(0, 60), ssim=0.968584, orig=2129912, zlib=182337, bz2=0, lzma=0, jpeg=386206
threshold=(0, 70), ssim=0.962272, orig=2129912, zlib=164450, bz2=0, lzma=0, jpeg=373345
threshold=(0, 80), ssim=0.956524, orig=2129912, zlib=144369, bz2=0, lzma=0, jpeg=359037
threshold=(0, 90), ssim=0.950436, orig=2129912, zlib=122687, bz2=0, lzma=0, jpeg=342538
threshold=(0, 100), ssim=0.945639, orig=2129912, zlib=94337, bz2=0, lzma=0, jpeg=321684
threshold=(10, 10), ssim=0.975557, orig=2126640, zlib=214799, bz2=0, lzma=0, jpeg=411455
threshold=(10, 20), ssim=0.975465, orig=2126640, zlib=212569, bz2=0, lzma=0, jpeg=406579
threshold=(10, 30), ssim=0.975315, orig=2126640, zlib=209931, bz2=0, lzma=0, jpeg=403994
threshold=(10, 40), ssim=0.975176, orig=2126640, zlib=206185, bz2=0, lzma=0, jpeg=400342
threshold=(10, 50), ssim=0.974146, orig=2126640, zlib=199627, bz2=0, lzma=0, jpeg=394715
threshold=(10, 60), ssim=0.968292, orig=2126640, zlib=181597, bz2=0, lzma=0, jpeg=383609
threshold=(10, 70), ssim=0.961979, orig=2126640, zlib=163424, bz2=0, lzma=0, jpeg=370806
threshold=(10, 80), ssim=0.956237, orig=2126640, zlib=143982, bz2=0, lzma=0, jpeg=356605
threshold=(10, 90), ssim=0.950153, orig=2126640, zlib=121651, bz2=0, lzma=0, jpeg=340137
threshold=(10, 100), ssim=0.945358, orig=2126640, zlib=93108, bz2=0, lzma=0, jpeg=319346
threshold=(20, 20), ssim=0.975383, orig=2123360, zlib=211392, bz2=0, lzma=0, jpeg=403641
threshold=(20, 30), ssim=0.975264, orig=2123360, zlib=208878, bz2=0, lzma=0, jpeg=401188
threshold=(20, 40), ssim=0.975127, orig=2123360, zlib=205046, bz2=0, lzma=0, jpeg=397565
threshold=(20, 50), ssim=0.974099, orig=2123360, zlib=198953, bz2=0, lzma=0, jpeg=391992
threshold=(20, 60), ssim=0.968245, orig=2123360, zlib=181344, bz2=0, lzma=0, jpeg=380928
threshold=(20, 70), ssim=0.961934, orig=2123360, zlib=162621, bz2=0, lzma=0, jpeg=368188
threshold=(20, 80), ssim=0.956192, orig=2123360, zlib=142695, bz2=0, lzma=0, jpeg=354080
threshold=(20, 90), ssim=0.950112, orig=2123360, zlib=120296, bz2=0, lzma=0, jpeg=337684
threshold=(20, 100), ssim=0.945317, orig=2123360, zlib=91633, bz2=0, lzma=0, jpeg=316870
threshold=(30, 30), ssim=0.974948, orig=2120088, zlib=207467, bz2=0, lzma=0, jpeg=398375
threshold=(30, 40), ssim=0.974845, orig=2120088, zlib=204322, bz2=0, lzma=0, jpeg=394966
threshold=(30, 50), ssim=0.973823, orig=2120088, zlib=198093, bz2=0, lzma=0, jpeg=389424
threshold=(30, 60), ssim=0.967968, orig=2120088, zlib=180699, bz2=0, lzma=0, jpeg=378393
threshold=(30, 70), ssim=0.961657, orig=2120088, zlib=162141, bz2=0, lzma=0, jpeg=365709
threshold=(30, 80), ssim=0.955915, orig=2120088, zlib=141738, bz2=0, lzma=0, jpeg=351700
threshold=(30, 90), ssim=0.949836, orig=2120088, zlib=118696, bz2=0, lzma=0, jpeg=335379
threshold=(30, 100), ssim=0.945040, orig=2120088, zlib=90172, bz2=0, lzma=0, jpeg=314467
threshold=(40, 40), ssim=0.974657, orig=2116808, zlib=203586, bz2=0, lzma=0, jpeg=392208
threshold=(40, 50), ssim=0.973667, orig=2116808, zlib=196948, bz2=0, lzma=0, jpeg=386822
threshold=(40, 60), ssim=0.967813, orig=2116808, zlib=179413, bz2=0, lzma=0, jpeg=375834
threshold=(40, 70), ssim=0.961502, orig=2116808, zlib=161050, bz2=0, lzma=0, jpeg=363236
threshold=(40, 80), ssim=0.955762, orig=2116808, zlib=140976, bz2=0, lzma=0, jpeg=349342
threshold=(40, 90), ssim=0.949685, orig=2116808, zlib=116773, bz2=0, lzma=0, jpeg=332947
threshold=(40, 100), ssim=0.944890, orig=2116808, zlib=88932, bz2=0, lzma=0, jpeg=312081
threshold=(50, 50), ssim=0.973049, orig=2113536, zlib=194456, bz2=0, lzma=0, jpeg=383865
threshold=(50, 60), ssim=0.967209, orig=2113536, zlib=176831, bz2=0, lzma=0, jpeg=373071
threshold=(50, 70), ssim=0.960904, orig=2113536, zlib=158635, bz2=0, lzma=0, jpeg=360605
threshold=(50, 80), ssim=0.955166, orig=2113536, zlib=138937, bz2=0, lzma=0, jpeg=346845
threshold=(50, 90), ssim=0.949099, orig=2113536, zlib=114934, bz2=0, lzma=0, jpeg=330399
threshold=(50, 100), ssim=0.944306, orig=2113536, zlib=86879, bz2=0, lzma=0, jpeg=309611
threshold=(60, 60), ssim=0.958726, orig=2110256, zlib=170873, bz2=0, lzma=0, jpeg=368536
threshold=(60, 70), ssim=0.952432, orig=2110256, zlib=151604, bz2=0, lzma=0, jpeg=356305
threshold=(60, 80), ssim=0.946690, orig=2110256, zlib=132185, bz2=0, lzma=0, jpeg=342677
threshold=(60, 90), ssim=0.940627, orig=2110256, zlib=108847, bz2=0, lzma=0, jpeg=326377
threshold=(60, 100), ssim=0.935842, orig=2110256, zlib=80369, bz2=0, lzma=0, jpeg=305669
threshold=(70, 70), ssim=0.937982, orig=2106984, zlib=142883, bz2=0, lzma=0, jpeg=350597
threshold=(70, 80), ssim=0.932208, orig=2106984, zlib=122280, bz2=0, lzma=0, jpeg=337185
threshold=(70, 90), ssim=0.926139, orig=2106984, zlib=98951, bz2=0, lzma=0, jpeg=321076
threshold=(70, 100), ssim=0.921352, orig=2106984, zlib=70434, bz2=0, lzma=0, jpeg=300485
threshold=(80, 80), ssim=0.915564, orig=2103704, zlib=112137, bz2=0, lzma=0, jpeg=330316
threshold=(80, 90), ssim=0.909468, orig=2103704, zlib=88825, bz2=0, lzma=0, jpeg=314437
threshold=(80, 100), ssim=0.904682, orig=2103704, zlib=60585, bz2=0, lzma=0, jpeg=293922
threshold=(90, 90), ssim=0.893028, orig=2100432, zlib=74508, bz2=0, lzma=0, jpeg=305859
threshold=(90, 100), ssim=0.888199, orig=2100432, zlib=46113, bz2=0, lzma=0, jpeg=285475
threshold=(100, 100), ssim=0.874656, orig=2097152, zlib=28661, bz2=0, lzma=0, jpeg=272735
