threshold=(0, 0), ssim=0.980713, orig=2129752, zlib=273041, bz2=0, lzma=0, jpeg=484129
threshold=(0, 10), ssim=0.980687, orig=2129752, zlib=271968, bz2=0, lzma=0, jpeg=478984
threshold=(0, 20), ssim=0.980659, orig=2129752, zlib=270474, bz2=0, lzma=0, jpeg=473042
threshold=(0, 30), ssim=0.980610, orig=2129752, zlib=268308, bz2=0, lzma=0, jpeg=466656
threshold=(0, 40), ssim=0.980544, orig=2129752, zlib=265836, bz2=0, lzma=0, jpeg=459420
threshold=(0, 50), ssim=0.980358, orig=2129752, zlib=262293, bz2=0, lzma=0, jpeg=451605
threshold=(0, 60), ssim=0.979959, orig=2129752, zlib=256763, bz2=0, lzma=0, jpeg=443019
threshold=(0, 70), ssim=0.975043, orig=2129752, zlib=239995, bz2=0, lzma=0, jpeg=428567
threshold=(0, 80), ssim=0.963097, orig=2129752, zlib=207646, bz2=0, lzma=0, jpeg=404109
threshold=(0, 90), ssim=0.950966, orig=2129752, zlib=169951, bz2=0, lzma=0, jpeg=375119
threshold=(0, 100), ssim=0.939104, orig=2129752, zlib=132272, bz2=0, lzma=0, jpeg=344472
threshold=(10, 10), ssim=0.980028, orig=2126640, zlib=270889, bz2=0, lzma=0, jpeg=476287
threshold=(10, 20), ssim=0.980051, orig=2126640, zlib=269704, bz2=0, lzma=0, jpeg=470548
threshold=(10, 30), ssim=0.980020, orig=2126640, zlib=267533, bz2=0, lzma=0, jpeg=464245
threshold=(10, 40), ssim=0.979955, orig=2126640, zlib=265129, bz2=0, lzma=0, jpeg=457158
threshold=(10, 50), ssim=0.979778, orig=2126640, zlib=261576, bz2=0, lzma=0, jpeg=449389
threshold=(10, 60), ssim=0.979387, orig=2126640, zlib=255973, bz2=0, lzma=0, jpeg=440853
threshold=(10, 70), ssim=0.974488, orig=2126640, zlib=239116, bz2=0, lzma=0, jpeg=426487
threshold=(10, 80), ssim=0.962546, orig=2126640, zlib=207144, bz2=0, lzma=0, jpeg=402038
