threshold=(0, 0), ssim=0.972658, orig=2129912, zlib=262402, bz2=0, lzma=0, jpeg=443777
threshold=(0, 10), ssim=0.972520, orig=2129912, zlib=258486, bz2=0, lzma=0, jpeg=437954
threshold=(0, 20), ssim=0.972246, orig=2129912, zlib=253290, bz2=0, lzma=0, jpeg=432028
threshold=(0, 30), ssim=0.971532, orig=2129912, zlib=245468, bz2=0, lzma=0, jpeg=426105
threshold=(0, 40), ssim=0.969730, orig=2129912, zlib=232971, bz2=0, lzma=0, jpeg=417833
threshold=(0, 50), ssim=0.967044, orig=2129912, zlib=220576, bz2=0, lzma=0, jpeg=408059
threshold=(0, 60), ssim=0.962439, orig=2129912, zlib=204390, bz2=0, lzma=0, jpeg=396691
threshold=(0, 70), ssim=0.956554, orig=2129912, zlib=187472, bz2=0, lzma=0, jpeg=383934
threshold=(0, 80), ssim=0.950897, orig=2129912, zlib=168312, bz2=0, lzma=0, jpeg=369461
threshold=(0, 90), ssim=0.943139, orig=2129912, zlib=145300, bz2=0, lzma=0, jpeg=351803
threshold=(0, 100), ssim=0.935026, orig=2129912, zlib=118396, bz2=0, lzma=0, jpeg=330031
threshold=(10, 10), ssim=0.972206, orig=2126640, zlib=257059, bz2=0, lzma=0, jpeg=435049
threshold=(10, 20), ssim=0.971966, orig=2126640, zlib=252385, bz2=0, lzma=0, jpeg=429300
threshold=(10, 30), ssim=0.971267, orig=2126640, zlib=244557, bz2=0, lzma=0, jpeg=423437
threshold=(10, 40), ssim=0.969483, orig=2126640, zlib=232419, bz2=0, lzma=0, jpeg=415250
threshold=(10, 50), ssim=0.966804, orig=2126640, zlib=219537, bz2=0, lzma=0, jpeg=405526
threshold=(10, 60), ssim=0.962205, orig=2126640, zlib=203336, bz2=0, lzma=0, jpeg=394255
threshold=(10, 70), ssim=0.956328, orig=2126640, zlib=186383, bz2=0, lzma=0, jpeg=381583
threshold=(10, 80), ssim=0.950673, orig=2126640, zlib=166796, bz2=0, lzma=0, jpeg=367137
threshold=(10, 90), ssim=0.942919, orig=2126640, zlib=144257, bz2=0, lzma=0, jpeg=349494
threshold=(10, 100), ssim=0.934808, orig=2126640, zlib=116393, bz2=0, lzma=0, jpeg=327781
threshold=(20, 20), ssim=0.971567, orig=2123360, zlib=250476, bz2=0, lzma=0, jpeg=426213
threshold=(20, 30), ssim=0.970895, orig=2123360, zlib=243063, bz2=0, lzma=0, jpeg=420489
threshold=(20, 40), ssim=0.969124, orig=2123360, zlib=231166, bz2=0, lzma=0, jpeg=412400
threshold=(20, 50), ssim=0.966453, orig=2123360, zlib=217994, bz2=0, lzma=0, jpeg=402795
threshold=(20, 60), ssim=0.961860, orig=2123360, zlib=201670, bz2=0, lzma=0, jpeg=391564
threshold=(20, 70), ssim=0.955988, orig=2123360, zlib=184637, bz2=0, lzma=0, jpeg=379045
threshold=(20, 80), ssim=0.950340, orig=2123360, zlib=165305, bz2=0, lzma=0, jpeg=364661
threshold=(20, 90), ssim=0.942595, orig=2123360, zlib=141819, bz2=0, lzma=0, jpeg=347062
threshold=(20, 100), ssim=0.934489, orig=2123360, zlib=114207, bz2=0, lzma=0, jpeg=325266
threshold=(30, 30), ssim=0.970120, orig=2120088, zlib=240117, bz2=0, lzma=0, jpeg=417359
threshold=(30, 40), ssim=0.968399, orig=2120088, zlib=228763, bz2=0, lzma=0, jpeg=409410
threshold=(30, 50), ssim=0.965749, orig=2120088, zlib=215520, bz2=0, lzma=0, jpeg=399880
threshold=(30, 60), ssim=0.961165, orig=2120088, zlib=198778, bz2=0, lzma=0, jpeg=388749
threshold=(30, 70), ssim=0.955298, orig=2120088, zlib=181960, bz2=0, lzma=0, jpeg=376310
threshold=(30, 80), ssim=0.949659, orig=2120088, zlib=162550, bz2=0, lzma=0, jpeg=362032
threshold=(30, 90), ssim=0.941917, orig=2120088, zlib=139602, bz2=0, lzma=0, jpeg=344498
threshold=(30, 100), ssim=0.933826, orig=2120088, zlib=111762, bz2=0, lzma=0, jpeg=322703
threshold=(40, 40), ssim=0.965548, orig=2116808, zlib=225137, bz2=0, lzma=0, jpeg=405842
threshold=(40, 50), ssim=0.962948, orig=2116808, zlib=211431, bz2=0, lzma=0, jpeg=396475
threshold=(40, 60), ssim=0.958390, orig=2116808, zlib=195588, bz2=0, lzma=0, jpeg=385432
threshold=(40, 70), ssim=0.952545, orig=2116808, zlib=177509, bz2=0, lzma=0, jpeg=373123
threshold=(40, 80), ssim=0.946911, orig=2116808, zlib=158093, bz2=0, lzma=0, jpeg=358907
threshold=(40, 90), ssim=0.939173, orig=2116808, zlib=135251, bz2=0, lzma=0, jpeg=341416
threshold=(40, 100), ssim=0.931098, orig=2116808, zlib=106974, bz2=0, lzma=0, jpeg=319696
threshold=(50, 50), ssim=0.958055, orig=2113536, zlib=205136, bz2=0, lzma=0, jpeg=392477
threshold=(50, 60), ssim=0.953544, orig=2113536, zlib=190375, bz2=0, lzma=0, jpeg=381595
threshold=(50, 70), ssim=0.947707, orig=2113536, zlib=171956, bz2=0, lzma=0, jpeg=369418
threshold=(50, 80), ssim=0.942082, orig=2113536, zlib=152431, bz2=0, lzma=0, jpeg=355282
threshold=(50, 90), ssim=0.934361, orig=2113536, zlib=129414, bz2=0, lzma=0, jpeg=337874
threshold=(50, 100), ssim=0.926295, orig=2113536, zlib=100831, bz2=0, lzma=0, jpeg=316193
threshold=(60, 60), ssim=0.946769, orig=2110256, zlib=182296, bz2=0, lzma=0, jpeg=376911
threshold=(60, 70), ssim=0.940927, orig=2110256, zlib=166074, bz2=0, lzma=0, jpeg=364925
threshold=(60, 80), ssim=0.935299, orig=2110256, zlib=144656, bz2=0, lzma=0, jpeg=350910
threshold=(60, 90), ssim=0.927591, orig=2110256, zlib=121169, bz2=0, lzma=0, jpeg=333609
threshold=(60, 100), ssim=0.919548, orig=2110256, zlib=92283, bz2=0, lzma=0, jpeg=312026
threshold=(70, 70), ssim=0.929733, orig=2106984, zlib=156237, bz2=0, lzma=0, jpeg=359003
threshold=(70, 80), ssim=0.924087, orig=2106984, zlib=137418, bz2=0, lzma=0, jpeg=345129
threshold=(70, 90), ssim=0.916387, orig=2106984, zlib=113975, bz2=0, lzma=0, jpeg=327912
threshold=(70, 100), ssim=0.908376, orig=2106984, zlib=84914, bz2=0, lzma=0, jpeg=306465
threshold=(80, 80), ssim=0.910325, orig=2103704, zlib=125794, bz2=0, lzma=0, jpeg=338009
threshold=(80, 90), ssim=0.902631, orig=2103704, zlib=102008, bz2=0, lzma=0, jpeg=320922
threshold=(80, 100), ssim=0.894735, orig=2103704, zlib=73266, bz2=0, lzma=0, jpeg=299591
threshold=(90, 90), ssim=0.889023, orig=2100432, zlib=88173, bz2=0, lzma=0, jpeg=311419
threshold=(90, 100), ssim=0.881095, orig=2100432, zlib=59219, bz2=0, lzma=0, jpeg=290163
threshold=(100, 100), ssim=0.867145, orig=2097152, zlib=41422, bz2=0, lzma=0, jpeg=276854
