threshold=(0, 0), ssim=0.976503, orig=2129056, zlib=287666, bz2=0, lzma=0, jpeg=447973
threshold=(0, 10), ssim=0.976365, orig=2129056, zlib=283412, bz2=0, lzma=0, jpeg=442385
threshold=(0, 20), ssim=0.974826, orig=2129056, zlib=272592, bz2=0, lzma=0, jpeg=433565
threshold=(0, 30), ssim=0.972437, orig=2129056, zlib=257871, bz2=0, lzma=0, jpeg=423430
threshold=(0, 40), ssim=0.969740, orig=2129056, zlib=240955, bz2=0, lzma=0, jpeg=412334
threshold=(0, 50), ssim=0.967049, orig=2129056, zlib=223174, bz2=0, lzma=0, jpeg=400460
threshold=(0, 60), ssim=0.964006, orig=2129056, zlib=204425, bz2=0, lzma=0, jpeg=387756
threshold=(0, 70), ssim=0.961058, orig=2129056, zlib=184498, bz2=0, lzma=0, jpeg=374234
threshold=(0, 80), ssim=0.958088, orig=2129056, zlib=163460, bz2=0, lzma=0, jpeg=359928
threshold=(0, 90), ssim=0.955128, orig=2129056, zlib=140716, bz2=0, lzma=0, jpeg=345103
threshold=(0, 100), ssim=0.952027, orig=2129056, zlib=119313, bz2=0, lzma=0, jpeg=329379
threshold=(10, 10), ssim=0.976188, orig=2126640, zlib=282635, bz2=0, lzma=0, jpeg=440374
threshold=(10, 20), ssim=0.974682, orig=2126640, zlib=271592, bz2=0, lzma=0, jpeg=431584
threshold=(10, 30), ssim=0.972303, orig=2126640, zlib=256664, bz2=0, lzma=0, jpeg=421472
threshold=(10, 40), ssim=0.969609, orig=2126640, zlib=239860, bz2=0, lzma=0, jpeg=410378
threshold=(10, 50), ssim=0.966924, orig=2126640, zlib=222128, bz2=0, lzma=0, jpeg=398512
threshold=(10, 60), ssim=0.963886, orig=2126640, zlib=203197, bz2=0, lzma=0, jpeg=385821
threshold=(10, 70), ssim=0.960943, orig=2126640, zlib=183343, bz2=0, lzma=0, jpeg=372304
threshold=(10, 80), ssim=0.957977, orig=2126640, zlib=162131, bz2=0, lzma=0, jpeg=358011
