threshold=(0, 0), ssim=0.956343, orig=2129912, zlib=297309, bz2=0, lzma=0, jpeg=454139
threshold=(0, 10), ssim=0.956089, orig=2129912, zlib=291632, bz2=0, lzma=0, jpeg=447174
threshold=(0, 20), ssim=0.954236, orig=2129912, zlib=278873, bz2=0, lzma=0, jpeg=438571
threshold=(0, 30), ssim=0.951009, orig=2129912, zlib=262316, bz2=0, lzma=0, jpeg=428576
threshold=(0, 40), ssim=0.944243, orig=2129912, zlib=243183, bz2=0, lzma=0, jpeg=415750
threshold=(0, 50), ssim=0.936228, orig=2129912, zlib=221604, bz2=0, lzma=0, jpeg=401604
threshold=(0, 60), ssim=0.933038, orig=2129912, zlib=203370, bz2=0, lzma=0, jpeg=389032
threshold=(0, 70), ssim=0.929558, orig=2129912, zlib=184879, bz2=0, lzma=0, jpeg=375923
threshold=(0, 80), ssim=0.925744, orig=2129912, zlib=165024, bz2=0, lzma=0, jpeg=361912
threshold=(0, 90), ssim=0.921401, orig=2129912, zlib=142590, bz2=0, lzma=0, jpeg=346802
threshold=(0, 100), ssim=0.915107, orig=2129912, zlib=119716, bz2=0, lzma=0, jpeg=330320
threshold=(10, 10), ssim=0.955734, orig=2126640, zlib=289999, bz2=0, lzma=0, jpeg=444590
threshold=(10, 20), ssim=0.953904, orig=2126640, zlib=277578, bz2=0, lzma=0, jpeg=436026
threshold=(10, 30), ssim=0.950687, orig=2126640, zlib=261067, bz2=0, lzma=0, jpeg=426037
threshold=(10, 40), ssim=0.943927, orig=2126640, zlib=241913, bz2=0, lzma=0, jpeg=413242
threshold=(10, 50), ssim=0.935914, orig=2126640, zlib=220325, bz2=0, lzma=0, jpeg=399097
threshold=(10, 60), ssim=0.932733, orig=2126640, zlib=202078, bz2=0, lzma=0, jpeg=386541
threshold=(10, 70), ssim=0.929258, orig=2126640, zlib=183409, bz2=0, lzma=0, jpeg=373449
threshold=(10, 80), ssim=0.925445, orig=2126640, zlib=163625, bz2=0, lzma=0, jpeg=359458
threshold=(10, 90), ssim=0.921104, orig=2126640, zlib=141162, bz2=0, lzma=0, jpeg=344375
threshold=(10, 100), ssim=0.914823, orig=2126640, zlib=117589, bz2=0, lzma=0, jpeg=327895
threshold=(20, 20), ssim=0.951486, orig=2123360, zlib=272970, bz2=0, lzma=0, jpeg=432759
threshold=(20, 30), ssim=0.948314, orig=2123360, zlib=257035, bz2=0, lzma=0, jpeg=422790
threshold=(20, 40), ssim=0.941572, orig=2123360, zlib=238082, bz2=0, lzma=0, jpeg=410050
threshold=(20, 50), ssim=0.933569, orig=2123360, zlib=216530, bz2=0, lzma=0, jpeg=395935
threshold=(20, 60), ssim=0.930402, orig=2123360, zlib=197682, bz2=0, lzma=0, jpeg=383382
threshold=(20, 70), ssim=0.926936, orig=2123360, zlib=179250, bz2=0, lzma=0, jpeg=370315
threshold=(20, 80), ssim=0.923139, orig=2123360, zlib=159473, bz2=0, lzma=0, jpeg=356370
threshold=(20, 90), ssim=0.918805, orig=2123360, zlib=136982, bz2=0, lzma=0, jpeg=341331
threshold=(20, 100), ssim=0.912524, orig=2123360, zlib=113001, bz2=0, lzma=0, jpeg=324868
threshold=(30, 30), ssim=0.943222, orig=2120088, zlib=251426, bz2=0, lzma=0, jpeg=418807
threshold=(30, 40), ssim=0.936535, orig=2120088, zlib=232292, bz2=0, lzma=0, jpeg=406085
threshold=(30, 50), ssim=0.928549, orig=2120088, zlib=211091, bz2=0, lzma=0, jpeg=392052
threshold=(30, 60), ssim=0.925387, orig=2120088, zlib=192776, bz2=0, lzma=0, jpeg=379520
threshold=(30, 70), ssim=0.921937, orig=2120088, zlib=173172, bz2=0, lzma=0, jpeg=366475
threshold=(30, 80), ssim=0.918147, orig=2120088, zlib=153651, bz2=0, lzma=0, jpeg=352576
threshold=(30, 90), ssim=0.913819, orig=2120088, zlib=131294, bz2=0, lzma=0, jpeg=337594
threshold=(30, 100), ssim=0.907536, orig=2120088, zlib=107852, bz2=0, lzma=0, jpeg=321152
threshold=(40, 40), ssim=0.927202, orig=2116808, zlib=225644, bz2=0, lzma=0, jpeg=401568
threshold=(40, 50), ssim=0.919167, orig=2116808, zlib=203973, bz2=0, lzma=0, jpeg=387587
threshold=(40, 60), ssim=0.916010, orig=2116808, zlib=186406, bz2=0, lzma=0, jpeg=375081
threshold=(40, 70), ssim=0.912622, orig=2116808, zlib=167581, bz2=0, lzma=0, jpeg=362067
threshold=(40, 80), ssim=0.908811, orig=2116808, zlib=146558, bz2=0, lzma=0, jpeg=348210
threshold=(40, 90), ssim=0.904487, orig=2116808, zlib=124218, bz2=0, lzma=0, jpeg=333288
threshold=(40, 100), ssim=0.898188, orig=2116808, zlib=100856, bz2=0, lzma=0, jpeg=316872
threshold=(50, 50), ssim=0.908470, orig=2113536, zlib=196889, bz2=0, lzma=0, jpeg=382713
threshold=(50, 60), ssim=0.905348, orig=2113536, zlib=178085, bz2=0, lzma=0, jpeg=370235
threshold=(50, 70), ssim=0.901971, orig=2113536, zlib=159865, bz2=0, lzma=0, jpeg=357274
threshold=(50, 80), ssim=0.898174, orig=2113536, zlib=139815, bz2=0, lzma=0, jpeg=343472
threshold=(50, 90), ssim=0.893847, orig=2113536, zlib=116285, bz2=0, lzma=0, jpeg=328588
threshold=(50, 100), ssim=0.887546, orig=2113536, zlib=92240, bz2=0, lzma=0, jpeg=312255
threshold=(60, 60), ssim=0.896730, orig=2110256, zlib=170824, bz2=0, lzma=0, jpeg=365016
threshold=(60, 70), ssim=0.893417, orig=2110256, zlib=151055, bz2=0, lzma=0, jpeg=352090
threshold=(60, 80), ssim=0.889605, orig=2110256, zlib=131863, bz2=0, lzma=0, jpeg=338332
