threshold=(0, 0), ssim=0.931480, orig=2129264, zlib=435132, bz2=0, lzma=0, jpeg=527509
threshold=(0, 10), ssim=0.928744, orig=2129264, zlib=420227, bz2=0, lzma=0, jpeg=517076
threshold=(0, 20), ssim=0.921759, orig=2129264, zlib=397656, bz2=0, lzma=0, jpeg=503179
threshold=(0, 30), ssim=0.914832, orig=2129264, zlib=374836, bz2=0, lzma=0, jpeg=488721
threshold=(0, 40), ssim=0.907740, orig=2129264, zlib=351218, bz2=0, lzma=0, jpeg=473389
threshold=(0, 50), ssim=0.900769, orig=2129264, zlib=327344, bz2=0, lzma=0, jpeg=457056
threshold=(0, 60), ssim=0.893913, orig=2129264, zlib=301560, bz2=0, lzma=0, jpeg=439986
threshold=(0, 70), ssim=0.887572, orig=2129264, zlib=275770, bz2=0, lzma=0, jpeg=422022
threshold=(0, 80), ssim=0.881143, orig=2129264, zlib=248447, bz2=0, lzma=0, jpeg=403129
threshold=(0, 90), ssim=0.876073, orig=2129264, zlib=219812, bz2=0, lzma=0, jpeg=382484
threshold=(0, 100), ssim=0.871560, orig=2129264, zlib=189118, bz2=0, lzma=0, jpeg=358802
threshold=(10, 10), ssim=0.924769, orig=2126640, zlib=414773, bz2=0, lzma=0, jpeg=513772
threshold=(10, 20), ssim=0.917780, orig=2126640, zlib=392746, bz2=0, lzma=0, jpeg=499907
threshold=(10, 30), ssim=0.910871, orig=2126640, zlib=369321, bz2=0, lzma=0, jpeg=485475
threshold=(10, 40), ssim=0.903769, orig=2126640, zlib=346145, bz2=0, lzma=0, jpeg=470172
threshold=(10, 50), ssim=0.896798, orig=2126640, zlib=322206, bz2=0, lzma=0, jpeg=453849
threshold=(10, 60), ssim=0.889912, orig=2126640, zlib=296648, bz2=0, lzma=0, jpeg=436792
threshold=(10, 70), ssim=0.883573, orig=2126640, zlib=270695, bz2=0, lzma=0, jpeg=418824
threshold=(10, 80), ssim=0.877149, orig=2126640, zlib=243223, bz2=0, lzma=0, jpeg=399924
threshold=(10, 90), ssim=0.872083, orig=2126640, zlib=214586, bz2=0, lzma=0, jpeg=379270
threshold=(10, 100), ssim=0.867569, orig=2126640, zlib=183529, bz2=0, lzma=0, jpeg=355529
threshold=(20, 20), ssim=0.905129, orig=2123360, zlib=382385, bz2=0, lzma=0, jpeg=494117
threshold=(20, 30), ssim=0.898222, orig=2123360, zlib=360066, bz2=0, lzma=0, jpeg=479766
threshold=(20, 40), ssim=0.891097, orig=2123360, zlib=336948, bz2=0, lzma=0, jpeg=464558
threshold=(20, 50), ssim=0.884063, orig=2123360, zlib=312819, bz2=0, lzma=0, jpeg=448380
threshold=(20, 60), ssim=0.877154, orig=2123360, zlib=286856, bz2=0, lzma=0, jpeg=431354
threshold=(20, 70), ssim=0.870815, orig=2123360, zlib=260571, bz2=0, lzma=0, jpeg=413448
threshold=(20, 80), ssim=0.864391, orig=2123360, zlib=233038, bz2=0, lzma=0, jpeg=394581
