threshold=(0, 0), ssim=0.981631, orig=2127872, zlib=233049, bz2=0, lzma=0, jpeg=436586
threshold=(0, 10), ssim=0.981606, orig=2127872, zlib=232885, bz2=0, lzma=0, jpeg=434521
threshold=(0, 20), ssim=0.981469, orig=2127872, zlib=230537, bz2=0, lzma=0, jpeg=428339
threshold=(0, 30), ssim=0.981268, orig=2127872, zlib=226831, bz2=0, lzma=0, jpeg=421594
threshold=(0, 40), ssim=0.980804, orig=2127872, zlib=222409, bz2=0, lzma=0, jpeg=414076
threshold=(0, 50), ssim=0.979907, orig=2127872, zlib=213442, bz2=0, lzma=0, jpeg=405175
threshold=(0, 60), ssim=0.978611, orig=2127872, zlib=200012, bz2=0, lzma=0, jpeg=395052
threshold=(0, 70), ssim=0.976923, orig=2127872, zlib=182977, bz2=0, lzma=0, jpeg=383965
threshold=(0, 80), ssim=0.972806, orig=2127872, zlib=163269, bz2=0, lzma=0, jpeg=368513
threshold=(0, 90), ssim=0.968029, orig=2127872, zlib=137594, bz2=0, lzma=0, jpeg=349437
threshold=(0, 100), ssim=0.961027, orig=2127872, zlib=109039, bz2=0, lzma=0, jpeg=328227
threshold=(10, 10), ssim=0.981376, orig=2126640, zlib=232317, bz2=0, lzma=0, jpeg=433457
threshold=(10, 20), ssim=0.981286, orig=2126640, zlib=230270, bz2=0, lzma=0, jpeg=427377
threshold=(10, 30), ssim=0.981100, orig=2126640, zlib=226530, bz2=0, lzma=0, jpeg=420675
threshold=(10, 40), ssim=0.980641, orig=2126640, zlib=222171, bz2=0, lzma=0, jpeg=413179
threshold=(10, 50), ssim=0.979745, orig=2126640, zlib=213122, bz2=0, lzma=0, jpeg=404284
threshold=(10, 60), ssim=0.978449, orig=2126640, zlib=199859, bz2=0, lzma=0, jpeg=394175
threshold=(10, 70), ssim=0.976761, orig=2126640, zlib=182704, bz2=0, lzma=0, jpeg=383109
threshold=(10, 80), ssim=0.972645, orig=2126640, zlib=162875, bz2=0, lzma=0, jpeg=367665
threshold=(10, 90), ssim=0.967869, orig=2126640, zlib=137225, bz2=0, lzma=0, jpeg=348582
threshold=(10, 100), ssim=0.960869, orig=2126640, zlib=108612, bz2=0, lzma=0, jpeg=327378
threshold=(20, 20), ssim=0.981229, orig=2123360, zlib=228829, bz2=0, lzma=0, jpeg=424504
threshold=(20, 30), ssim=0.981088, orig=2123360, zlib=225443, bz2=0, lzma=0, jpeg=417998
threshold=(20, 40), ssim=0.980655, orig=2123360, zlib=221409, bz2=0, lzma=0, jpeg=410665
threshold=(20, 50), ssim=0.979762, orig=2123360, zlib=211931, bz2=0, lzma=0, jpeg=401788
threshold=(20, 60), ssim=0.978467, orig=2123360, zlib=199000, bz2=0, lzma=0, jpeg=391715
threshold=(20, 70), ssim=0.976779, orig=2123360, zlib=181740, bz2=0, lzma=0, jpeg=380673
threshold=(20, 80), ssim=0.972665, orig=2123360, zlib=161711, bz2=0, lzma=0, jpeg=365227
threshold=(20, 90), ssim=0.967889, orig=2123360, zlib=136050, bz2=0, lzma=0, jpeg=346174
threshold=(20, 100), ssim=0.960891, orig=2123360, zlib=107312, bz2=0, lzma=0, jpeg=325006
threshold=(30, 30), ssim=0.980765, orig=2120088, zlib=223649, bz2=0, lzma=0, jpeg=415056
threshold=(30, 40), ssim=0.980383, orig=2120088, zlib=220265, bz2=0, lzma=0, jpeg=407958
threshold=(30, 50), ssim=0.979510, orig=2120088, zlib=210448, bz2=0, lzma=0, jpeg=399151
threshold=(30, 60), ssim=0.978218, orig=2120088, zlib=197487, bz2=0, lzma=0, jpeg=389093
threshold=(30, 70), ssim=0.976534, orig=2120088, zlib=180415, bz2=0, lzma=0, jpeg=378107
threshold=(30, 80), ssim=0.972421, orig=2120088, zlib=160080, bz2=0, lzma=0, jpeg=362705
threshold=(30, 90), ssim=0.967646, orig=2120088, zlib=134435, bz2=0, lzma=0, jpeg=343675
threshold=(30, 100), ssim=0.960656, orig=2120088, zlib=105357, bz2=0, lzma=0, jpeg=322496
threshold=(40, 40), ssim=0.979640, orig=2116808, zlib=217870, bz2=0, lzma=0, jpeg=405014
threshold=(40, 50), ssim=0.978799, orig=2116808, zlib=208518, bz2=0, lzma=0, jpeg=396373
threshold=(40, 60), ssim=0.977506, orig=2116808, zlib=195681, bz2=0, lzma=0, jpeg=386402
threshold=(40, 70), ssim=0.975820, orig=2116808, zlib=178552, bz2=0, lzma=0, jpeg=375429
threshold=(40, 80), ssim=0.971708, orig=2116808, zlib=157837, bz2=0, lzma=0, jpeg=360026
threshold=(40, 90), ssim=0.966934, orig=2116808, zlib=132084, bz2=0, lzma=0, jpeg=341019
threshold=(40, 100), ssim=0.959947, orig=2116808, zlib=102990, bz2=0, lzma=0, jpeg=319796
threshold=(50, 50), ssim=0.976388, orig=2113536, zlib=204730, bz2=0, lzma=0, jpeg=393117
threshold=(50, 60), ssim=0.975068, orig=2113536, zlib=193081, bz2=0, lzma=0, jpeg=383238
threshold=(50, 70), ssim=0.973373, orig=2113536, zlib=175344, bz2=0, lzma=0, jpeg=372312
threshold=(50, 80), ssim=0.969262, orig=2113536, zlib=153965, bz2=0, lzma=0, jpeg=356941
threshold=(50, 90), ssim=0.964491, orig=2113536, zlib=128165, bz2=0, lzma=0, jpeg=337971
threshold=(50, 100), ssim=0.957517, orig=2113536, zlib=98754, bz2=0, lzma=0, jpeg=316686
threshold=(60, 60), ssim=0.971795, orig=2110256, zlib=188151, bz2=0, lzma=0, jpeg=379323
