threshold=(0, 0), ssim=0.954741, orig=2129592, zlib=282014, bz2=0, lzma=0, jpeg=472569
threshold=(0, 10), ssim=0.954656, orig=2129592, zlib=282026, bz2=0, lzma=0, jpeg=466818
threshold=(0, 20), ssim=0.954514, orig=2129592, zlib=281072, bz2=0, lzma=0, jpeg=459689
threshold=(0, 30), ssim=0.954375, orig=2129592, zlib=278229, bz2=0, lzma=0, jpeg=452216
threshold=(0, 40), ssim=0.953929, orig=2129592, zlib=273148, bz2=0, lzma=0, jpeg=444396
threshold=(0, 50), ssim=0.949032, orig=2129592, zlib=258275, bz2=0, lzma=0, jpeg=433049
threshold=(0, 60), ssim=0.937947, orig=2129592, zlib=235780, bz2=0, lzma=0, jpeg=417872
threshold=(0, 70), ssim=0.924250, orig=2129592, zlib=209749, bz2=0, lzma=0, jpeg=399208
threshold=(0, 80), ssim=0.909489, orig=2129592, zlib=181029, bz2=0, lzma=0, jpeg=377280
threshold=(0, 90), ssim=0.894182, orig=2129592, zlib=149542, bz2=0, lzma=0, jpeg=353759
threshold=(0, 100), ssim=0.882271, orig=2129592, zlib=114771, bz2=0, lzma=0, jpeg=327369
threshold=(10, 10), ssim=0.954052, orig=2126640, zlib=280893, bz2=0, lzma=0, jpeg=463805
threshold=(10, 20), ssim=0.953971, orig=2126640, zlib=280318, bz2=0, lzma=0, jpeg=456943
threshold=(10, 30), ssim=0.953866, orig=2126640, zlib=277617, bz2=0, lzma=0, jpeg=449614
threshold=(10, 40), ssim=0.953433, orig=2126640, zlib=272533, bz2=0, lzma=0, jpeg=441960
threshold=(10, 50), ssim=0.948539, orig=2126640, zlib=257725, bz2=0, lzma=0, jpeg=430677
threshold=(10, 60), ssim=0.937456, orig=2126640, zlib=235280, bz2=0, lzma=0, jpeg=415548
threshold=(10, 70), ssim=0.923762, orig=2126640, zlib=209326, bz2=0, lzma=0, jpeg=396841
threshold=(10, 80), ssim=0.909002, orig=2126640, zlib=180750, bz2=0, lzma=0, jpeg=374973
threshold=(10, 90), ssim=0.893696, orig=2126640, zlib=149062, bz2=0, lzma=0, jpeg=351523
threshold=(10, 100), ssim=0.881785, orig=2126640, zlib=114576, bz2=0, lzma=0, jpeg=325162
threshold=(20, 20), ssim=0.953780, orig=2123344, zlib=278721, bz2=0, lzma=0, jpeg=453667
threshold=(20, 30), ssim=0.953714, orig=2123344, zlib=276617, bz2=0, lzma=0, jpeg=446618
threshold=(20, 40), ssim=0.953297, orig=2123344, zlib=271550, bz2=0, lzma=0, jpeg=439122
threshold=(20, 50), ssim=0.948406, orig=2123344, zlib=256710, bz2=0, lzma=0, jpeg=427931
threshold=(20, 60), ssim=0.937326, orig=2123344, zlib=234296, bz2=0, lzma=0, jpeg=412847
threshold=(20, 70), ssim=0.923632, orig=2123344, zlib=208194, bz2=0, lzma=0, jpeg=394119
threshold=(20, 80), ssim=0.908873, orig=2123344, zlib=179861, bz2=0, lzma=0, jpeg=372311
threshold=(20, 90), ssim=0.893567, orig=2123344, zlib=147846, bz2=0, lzma=0, jpeg=348942
threshold=(20, 100), ssim=0.881656, orig=2123344, zlib=114097, bz2=0, lzma=0, jpeg=322614
threshold=(30, 30), ssim=0.953765, orig=2120088, zlib=274768, bz2=0, lzma=0, jpeg=443337
threshold=(30, 40), ssim=0.953393, orig=2120088, zlib=270067, bz2=0, lzma=0, jpeg=436125
threshold=(30, 50), ssim=0.948514, orig=2120088, zlib=255519, bz2=0, lzma=0, jpeg=425031
threshold=(30, 60), ssim=0.937434, orig=2120088, zlib=232377, bz2=0, lzma=0, jpeg=409986
threshold=(30, 70), ssim=0.923741, orig=2120088, zlib=206284, bz2=0, lzma=0, jpeg=391248
threshold=(30, 80), ssim=0.908983, orig=2120088, zlib=178016, bz2=0, lzma=0, jpeg=369515
threshold=(30, 90), ssim=0.893678, orig=2120088, zlib=146533, bz2=0, lzma=0, jpeg=346209
threshold=(30, 100), ssim=0.881767, orig=2120088, zlib=112774, bz2=0, lzma=0, jpeg=319944
threshold=(40, 40), ssim=0.952934, orig=2116808, zlib=267460, bz2=0, lzma=0, jpeg=432766
threshold=(40, 50), ssim=0.948093, orig=2116808, zlib=253442, bz2=0, lzma=0, jpeg=421917
threshold=(40, 60), ssim=0.937014, orig=2116808, zlib=230232, bz2=0, lzma=0, jpeg=406941
threshold=(40, 70), ssim=0.923321, orig=2116808, zlib=203306, bz2=0, lzma=0, jpeg=388201
threshold=(40, 80), ssim=0.908563, orig=2116808, zlib=175208, bz2=0, lzma=0, jpeg=366550
threshold=(40, 90), ssim=0.893260, orig=2116808, zlib=145033, bz2=0, lzma=0, jpeg=343306
threshold=(40, 100), ssim=0.881350, orig=2116808, zlib=110373, bz2=0, lzma=0, jpeg=317064
threshold=(50, 50), ssim=0.943425, orig=2113536, zlib=247334, bz2=0, lzma=0, jpeg=417681
