threshold=(0, 0), ssim=0.971879, orig=2129912, zlib=535539, bz2=0, lzma=0, jpeg=598448
threshold=(0, 10), ssim=0.964125, orig=2129912, zlib=513679, bz2=0, lzma=0, jpeg=583239
threshold=(0, 20), ssim=0.955529, orig=2129912, zlib=488988, bz2=0, lzma=0, jpeg=565390
threshold=(0, 30), ssim=0.947312, orig=2129912, zlib=462541, bz2=0, lzma=0, jpeg=546749
threshold=(0, 40), ssim=0.939796, orig=2129912, zlib=435258, bz2=0, lzma=0, jpeg=527450
threshold=(0, 50), ssim=0.932677, orig=2129912, zlib=407332, bz2=0, lzma=0, jpeg=507606
threshold=(0, 60), ssim=0.925998, orig=2129912, zlib=378914, bz2=0, lzma=0, jpeg=487209
threshold=(0, 70), ssim=0.920055, orig=2129912, zlib=349379, bz2=0, lzma=0, jpeg=465830
threshold=(0, 80), ssim=0.914145, orig=2129912, zlib=317740, bz2=0, lzma=0, jpeg=443178
threshold=(0, 90), ssim=0.908440, orig=2129912, zlib=285901, bz2=0, lzma=0, jpeg=419959
threshold=(0, 100), ssim=0.903019, orig=2129912, zlib=254371, bz2=0, lzma=0, jpeg=396286
threshold=(10, 10), ssim=0.950453, orig=2126640, zlib=502765, bz2=0, lzma=0, jpeg=576882
threshold=(10, 20), ssim=0.941777, orig=2126640, zlib=478611, bz2=0, lzma=0, jpeg=559117
threshold=(10, 30), ssim=0.933532, orig=2126640, zlib=452075, bz2=0, lzma=0, jpeg=540553
threshold=(10, 40), ssim=0.926010, orig=2126640, zlib=424525, bz2=0, lzma=0, jpeg=521280
threshold=(10, 50), ssim=0.918894, orig=2126640, zlib=396461, bz2=0, lzma=0, jpeg=501464
threshold=(10, 60), ssim=0.912217, orig=2126640, zlib=368229, bz2=0, lzma=0, jpeg=481145
threshold=(10, 70), ssim=0.906278, orig=2126640, zlib=338691, bz2=0, lzma=0, jpeg=459848
threshold=(10, 80), ssim=0.900365, orig=2126640, zlib=307296, bz2=0, lzma=0, jpeg=437234
threshold=(10, 90), ssim=0.894665, orig=2126640, zlib=275767, bz2=0, lzma=0, jpeg=414042
threshold=(10, 100), ssim=0.889252, orig=2126640, zlib=243121, bz2=0, lzma=0, jpeg=390402
threshold=(20, 20), ssim=0.922217, orig=2123360, zlib=463987, bz2=0, lzma=0, jpeg=550332
threshold=(20, 30), ssim=0.913906, orig=2123360, zlib=438381, bz2=0, lzma=0, jpeg=531838
threshold=(20, 40), ssim=0.906338, orig=2123360, zlib=410966, bz2=0, lzma=0, jpeg=512671
threshold=(20, 50), ssim=0.899191, orig=2123360, zlib=382925, bz2=0, lzma=0, jpeg=492891
threshold=(20, 60), ssim=0.892498, orig=2123360, zlib=354426, bz2=0, lzma=0, jpeg=472621
threshold=(20, 70), ssim=0.886547, orig=2123360, zlib=324569, bz2=0, lzma=0, jpeg=451435
threshold=(20, 80), ssim=0.880623, orig=2123360, zlib=292464, bz2=0, lzma=0, jpeg=428913
threshold=(20, 90), ssim=0.874913, orig=2123360, zlib=261923, bz2=0, lzma=0, jpeg=405782
threshold=(20, 100), ssim=0.869500, orig=2123360, zlib=229644, bz2=0, lzma=0, jpeg=382187
threshold=(30, 30), ssim=0.895890, orig=2120088, zlib=422273, bz2=0, lzma=0, jpeg=522317
threshold=(30, 40), ssim=0.888276, orig=2120088, zlib=395842, bz2=0, lzma=0, jpeg=503217
threshold=(30, 50), ssim=0.881086, orig=2120088, zlib=367929, bz2=0, lzma=0, jpeg=483560
threshold=(30, 60), ssim=0.874368, orig=2120088, zlib=339642, bz2=0, lzma=0, jpeg=463345
threshold=(30, 70), ssim=0.868401, orig=2120088, zlib=309735, bz2=0, lzma=0, jpeg=442233
threshold=(30, 80), ssim=0.862462, orig=2120088, zlib=278027, bz2=0, lzma=0, jpeg=419791
