threshold=(0, 0), ssim=0.972403, orig=2129784, zlib=343760, bz2=0, lzma=0, jpeg=490442
threshold=(0, 10), ssim=0.970396, orig=2129784, zlib=333619, bz2=0, lzma=0, jpeg=482211
threshold=(0, 20), ssim=0.966171, orig=2129784, zlib=318307, bz2=0, lzma=0, jpeg=471188
threshold=(0, 30), ssim=0.961421, orig=2129784, zlib=300899, bz2=0, lzma=0, jpeg=458842
threshold=(0, 40), ssim=0.956541, orig=2129784, zlib=283174, bz2=0, lzma=0, jpeg=445439
threshold=(0, 50), ssim=0.951334, orig=2129784, zlib=263856, bz2=0, lzma=0, jpeg=430986
threshold=(0, 60), ssim=0.946008, orig=2129784, zlib=243529, bz2=0, lzma=0, jpeg=415080
threshold=(0, 70), ssim=0.940668, orig=2129784, zlib=221859, bz2=0, lzma=0, jpeg=398327
threshold=(0, 80), ssim=0.935406, orig=2129784, zlib=197443, bz2=0, lzma=0, jpeg=380139
threshold=(0, 90), ssim=0.930722, orig=2129784, zlib=173246, bz2=0, lzma=0, jpeg=361007
threshold=(0, 100), ssim=0.926795, orig=2129784, zlib=147922, bz2=0, lzma=0, jpeg=340908
threshold=(10, 10), ssim=0.968871, orig=2126640, zlib=330707, bz2=0, lzma=0, jpeg=478989
threshold=(10, 20), ssim=0.964709, orig=2126640, zlib=315960, bz2=0, lzma=0, jpeg=468192
threshold=(10, 30), ssim=0.959986, orig=2126640, zlib=298480, bz2=0, lzma=0, jpeg=455945
threshold=(10, 40), ssim=0.955117, orig=2126640, zlib=280300, bz2=0, lzma=0, jpeg=442614
threshold=(10, 50), ssim=0.949921, orig=2126640, zlib=261111, bz2=0, lzma=0, jpeg=428234
threshold=(10, 60), ssim=0.944600, orig=2126640, zlib=240731, bz2=0, lzma=0, jpeg=412424
threshold=(10, 70), ssim=0.939266, orig=2126640, zlib=218848, bz2=0, lzma=0, jpeg=395630
threshold=(10, 80), ssim=0.934006, orig=2126640, zlib=194782, bz2=0, lzma=0, jpeg=377504
threshold=(10, 90), ssim=0.929324, orig=2126640, zlib=170278, bz2=0, lzma=0, jpeg=358410
threshold=(10, 100), ssim=0.925405, orig=2126640, zlib=144677, bz2=0, lzma=0, jpeg=338290
threshold=(20, 20), ssim=0.958375, orig=2123360, zlib=309457, bz2=0, lzma=0, jpeg=463882
threshold=(20, 30), ssim=0.953692, orig=2123360, zlib=292917, bz2=0, lzma=0, jpeg=451865
threshold=(20, 40), ssim=0.948844, orig=2123360, zlib=274872, bz2=0, lzma=0, jpeg=438674
threshold=(20, 50), ssim=0.943663, orig=2123360, zlib=255897, bz2=0, lzma=0, jpeg=424400
threshold=(20, 60), ssim=0.938349, orig=2123360, zlib=234647, bz2=0, lzma=0, jpeg=408641
threshold=(20, 70), ssim=0.933021, orig=2123360, zlib=213077, bz2=0, lzma=0, jpeg=391971
threshold=(20, 80), ssim=0.927764, orig=2123360, zlib=189135, bz2=0, lzma=0, jpeg=373895
threshold=(20, 90), ssim=0.923085, orig=2123360, zlib=164491, bz2=0, lzma=0, jpeg=354903
threshold=(20, 100), ssim=0.919169, orig=2123360, zlib=138915, bz2=0, lzma=0, jpeg=334783
threshold=(30, 30), ssim=0.943141, orig=2120088, zlib=285497, bz2=0, lzma=0, jpeg=446727
threshold=(30, 40), ssim=0.938308, orig=2120088, zlib=267424, bz2=0, lzma=0, jpeg=433772
threshold=(30, 50), ssim=0.933133, orig=2120088, zlib=248541, bz2=0, lzma=0, jpeg=419609
threshold=(30, 60), ssim=0.927828, orig=2120088, zlib=227773, bz2=0, lzma=0, jpeg=403986
threshold=(30, 70), ssim=0.922505, orig=2120088, zlib=204939, bz2=0, lzma=0, jpeg=387471
threshold=(30, 80), ssim=0.917248, orig=2120088, zlib=181610, bz2=0, lzma=0, jpeg=369473
threshold=(30, 90), ssim=0.912569, orig=2120088, zlib=156771, bz2=0, lzma=0, jpeg=350506
threshold=(30, 100), ssim=0.908657, orig=2120088, zlib=131267, bz2=0, lzma=0, jpeg=330482
threshold=(40, 40), ssim=0.924984, orig=2116808, zlib=258884, bz2=0, lzma=0, jpeg=427963
threshold=(40, 50), ssim=0.919817, orig=2116808, zlib=239807, bz2=0, lzma=0, jpeg=414004
threshold=(40, 60), ssim=0.914511, orig=2116808, zlib=219268, bz2=0, lzma=0, jpeg=398576
threshold=(40, 70), ssim=0.909188, orig=2116808, zlib=197439, bz2=0, lzma=0, jpeg=382205
threshold=(40, 80), ssim=0.903932, orig=2116808, zlib=173313, bz2=0, lzma=0, jpeg=364334
threshold=(40, 90), ssim=0.899259, orig=2116808, zlib=147710, bz2=0, lzma=0, jpeg=345454
threshold=(40, 100), ssim=0.895348, orig=2116808, zlib=121687, bz2=0, lzma=0, jpeg=325492
threshold=(50, 50), ssim=0.904677, orig=2113536, zlib=230181, bz2=0, lzma=0, jpeg=407544
threshold=(50, 60), ssim=0.899349, orig=2113536, zlib=208770, bz2=0, lzma=0, jpeg=392406
threshold=(50, 70), ssim=0.893972, orig=2113536, zlib=187565, bz2=0, lzma=0, jpeg=376185
threshold=(50, 80), ssim=0.888720, orig=2113536, zlib=163945, bz2=0, lzma=0, jpeg=358461
threshold=(50, 90), ssim=0.884048, orig=2113536, zlib=138954, bz2=0, lzma=0, jpeg=339708
threshold=(50, 100), ssim=0.880143, orig=2113536, zlib=113111, bz2=0, lzma=0, jpeg=319837
threshold=(60, 60), ssim=0.882079, orig=2110256, zlib=198476, bz2=0, lzma=0, jpeg=385222
threshold=(60, 70), ssim=0.876651, orig=2110256, zlib=176667, bz2=0, lzma=0, jpeg=369286
threshold=(60, 80), ssim=0.871373, orig=2110256, zlib=152671, bz2=0, lzma=0, jpeg=351768
threshold=(60, 90), ssim=0.866694, orig=2110256, zlib=126599, bz2=0, lzma=0, jpeg=333149
threshold=(60, 100), ssim=0.862790, orig=2110256, zlib=100663, bz2=0, lzma=0, jpeg=313384
threshold=(70, 70), ssim=0.859106, orig=2106984, zlib=162914, bz2=0, lzma=0, jpeg=361154
threshold=(70, 80), ssim=0.853766, orig=2106984, zlib=140760, bz2=0, lzma=0, jpeg=343886
threshold=(70, 90), ssim=0.849060, orig=2106984, zlib=115437, bz2=0, lzma=0, jpeg=325481
threshold=(70, 100), ssim=0.845143, orig=2106984, zlib=89455, bz2=0, lzma=0, jpeg=305875
threshold=(80, 80), ssim=0.835454, orig=2103704, zlib=125428, bz2=0, lzma=0, jpeg=334589
threshold=(80, 90), ssim=0.830701, orig=2103704, zlib=100958, bz2=0, lzma=0, jpeg=316517
threshold=(80, 100), ssim=0.826751, orig=2103704, zlib=74734, bz2=0, lzma=0, jpeg=297136
threshold=(90, 90), ssim=0.815048, orig=2100432, zlib=84658, bz2=0, lzma=0, jpeg=306418
threshold=(90, 100), ssim=0.811070, orig=2100432, zlib=58528, bz2=0, lzma=0, jpeg=287304
threshold=(100, 100), ssim=0.799133, orig=2097152, zlib=41888, bz2=0, lzma=0, jpeg=275743
