threshold=(0, 0), ssim=0.966653, orig=2129912, zlib=324606, bz2=0, lzma=0, jpeg=489016
threshold=(0, 10), ssim=0.966514, orig=2129912, zlib=322786, bz2=0, lzma=0, jpeg=483202
threshold=(0, 20), ssim=0.966373, orig=2129912, zlib=319975, bz2=0, lzma=0, jpeg=476711
threshold=(0, 30), ssim=0.965632, orig=2129912, zlib=313612, bz2=0, lzma=0, jpeg=469133
threshold=(0, 40), ssim=0.960047, orig=2129912, zlib=293655, bz2=0, lzma=0, jpeg=456569
threshold=(0, 50), ssim=0.952265, orig=2129912, zlib=273461, bz2=0, lzma=0, jpeg=440920
threshold=(0, 60), ssim=0.944196, orig=2129912, zlib=251720, bz2=0, lzma=0, jpeg=423433
threshold=(0, 70), ssim=0.936206, orig=2129912, zlib=226900, bz2=0, lzma=0, jpeg=404353
threshold=(0, 80), ssim=0.928498, orig=2129912, zlib=200206, bz2=0, lzma=0, jpeg=383995
threshold=(0, 90), ssim=0.921938, orig=2129912, zlib=171919, bz2=0, lzma=0, jpeg=362808
threshold=(0, 100), ssim=0.915199, orig=2129912, zlib=141278, bz2=0, lzma=0, jpeg=339758
threshold=(10, 10), ssim=0.966213, orig=2126640, zlib=321568, bz2=0, lzma=0, jpeg=480294
threshold=(10, 20), ssim=0.966098, orig=2126640, zlib=318965, bz2=0, lzma=0, jpeg=473987
threshold=(10, 30), ssim=0.965372, orig=2126640, zlib=312976, bz2=0, lzma=0, jpeg=466523
threshold=(10, 40), ssim=0.959789, orig=2126640, zlib=293357, bz2=0, lzma=0, jpeg=454060
threshold=(10, 50), ssim=0.952010, orig=2126640, zlib=272817, bz2=0, lzma=0, jpeg=438580
threshold=(10, 60), ssim=0.943940, orig=2126640, zlib=251066, bz2=0, lzma=0, jpeg=421156
threshold=(10, 70), ssim=0.935950, orig=2126640, zlib=226061, bz2=0, lzma=0, jpeg=401984
threshold=(10, 80), ssim=0.928242, orig=2126640, zlib=199449, bz2=0, lzma=0, jpeg=381668
threshold=(10, 90), ssim=0.921682, orig=2126640, zlib=171185, bz2=0, lzma=0, jpeg=360512
threshold=(10, 100), ssim=0.914943, orig=2126640, zlib=140740, bz2=0, lzma=0, jpeg=337504
threshold=(20, 20), ssim=0.965866, orig=2123352, zlib=317090, bz2=0, lzma=0, jpeg=471046
threshold=(20, 30), ssim=0.965189, orig=2123352, zlib=311746, bz2=0, lzma=0, jpeg=463810
