threshold=(0, 0), ssim=0.988402, orig=2129912, zlib=152055, bz2=0, lzma=0, jpeg=380644
threshold=(0, 10), ssim=0.988072, orig=2129912, zlib=146965, bz2=0, lzma=0, jpeg=374860
threshold=(0, 20), ssim=0.987513, orig=2129912, zlib=142620, bz2=0, lzma=0, jpeg=369184
threshold=(0, 30), ssim=0.986739, orig=2129912, zlib=135533, bz2=0, lzma=0, jpeg=363102
threshold=(0, 40), ssim=0.985801, orig=2129912, zlib=126278, bz2=0, lzma=0, jpeg=356557
threshold=(0, 50), ssim=0.984895, orig=2129912, zlib=118356, bz2=0, lzma=0, jpeg=349735
threshold=(0, 60), ssim=0.983969, orig=2129912, zlib=107796, bz2=0, lzma=0, jpeg=342485
threshold=(0, 70), ssim=0.982977, orig=2129912, zlib=97075, bz2=0, lzma=0, jpeg=334605
threshold=(0, 80), ssim=0.981905, orig=2129912, zlib=84573, bz2=0, lzma=0, jpeg=325547
threshold=(0, 90), ssim=0.980565, orig=2129912, zlib=71957, bz2=0, lzma=0, jpeg=314590
threshold=(0, 100), ssim=0.978799, orig=2129912, zlib=56712, bz2=0, lzma=0, jpeg=301194
threshold=(10, 10), ssim=0.987542, orig=2126640, zlib=144817, bz2=0, lzma=0, jpeg=371658
threshold=(10, 20), ssim=0.987058, orig=2126640, zlib=141312, bz2=0, lzma=0, jpeg=366189
threshold=(10, 30), ssim=0.986322, orig=2126640, zlib=134251, bz2=0, lzma=0, jpeg=360227
threshold=(10, 40), ssim=0.985407, orig=2126640, zlib=124659, bz2=0, lzma=0, jpeg=353782
threshold=(10, 50), ssim=0.984518, orig=2126640, zlib=116960, bz2=0, lzma=0, jpeg=347018
threshold=(10, 60), ssim=0.983618, orig=2126640, zlib=106356, bz2=0, lzma=0, jpeg=339824
threshold=(10, 70), ssim=0.982640, orig=2126640, zlib=95888, bz2=0, lzma=0, jpeg=332019
threshold=(10, 80), ssim=0.981575, orig=2126640, zlib=83125, bz2=0, lzma=0, jpeg=323071
threshold=(10, 90), ssim=0.980242, orig=2126640, zlib=71194, bz2=0, lzma=0, jpeg=312205
threshold=(10, 100), ssim=0.978501, orig=2126640, zlib=54410, bz2=0, lzma=0, jpeg=298904
threshold=(20, 20), ssim=0.986087, orig=2123360, zlib=138172, bz2=0, lzma=0, jpeg=362833
threshold=(20, 30), ssim=0.985401, orig=2123360, zlib=131951, bz2=0, lzma=0, jpeg=357108
threshold=(20, 40), ssim=0.984516, orig=2123360, zlib=122554, bz2=0, lzma=0, jpeg=350825
threshold=(20, 50), ssim=0.983647, orig=2123360, zlib=114700, bz2=0, lzma=0, jpeg=344169
threshold=(20, 60), ssim=0.982766, orig=2123360, zlib=103994, bz2=0, lzma=0, jpeg=337048
threshold=(20, 70), ssim=0.981807, orig=2123360, zlib=94043, bz2=0, lzma=0, jpeg=329323
threshold=(20, 80), ssim=0.980749, orig=2123360, zlib=80417, bz2=0, lzma=0, jpeg=320471
threshold=(20, 90), ssim=0.979422, orig=2123360, zlib=69278, bz2=0, lzma=0, jpeg=309758
threshold=(20, 100), ssim=0.977690, orig=2123360, zlib=52559, bz2=0, lzma=0, jpeg=296592
threshold=(30, 30), ssim=0.984109, orig=2120088, zlib=128104, bz2=0, lzma=0, jpeg=353678
threshold=(30, 40), ssim=0.983242, orig=2120088, zlib=119788, bz2=0, lzma=0, jpeg=347648
threshold=(30, 50), ssim=0.982387, orig=2120088, zlib=112410, bz2=0, lzma=0, jpeg=341137
threshold=(30, 60), ssim=0.981523, orig=2120088, zlib=101138, bz2=0, lzma=0, jpeg=334107
threshold=(30, 70), ssim=0.980584, orig=2120088, zlib=91291, bz2=0, lzma=0, jpeg=326476
threshold=(30, 80), ssim=0.979529, orig=2120088, zlib=78511, bz2=0, lzma=0, jpeg=317718
threshold=(30, 90), ssim=0.978207, orig=2120088, zlib=66363, bz2=0, lzma=0, jpeg=307166
threshold=(30, 100), ssim=0.976479, orig=2120088, zlib=50353, bz2=0, lzma=0, jpeg=294131
threshold=(40, 40), ssim=0.981034, orig=2116808, zlib=116015, bz2=0, lzma=0, jpeg=344094
threshold=(40, 50), ssim=0.980203, orig=2116808, zlib=108793, bz2=0, lzma=0, jpeg=337841
threshold=(40, 60), ssim=0.979358, orig=2116808, zlib=97530, bz2=0, lzma=0, jpeg=330959
threshold=(40, 70), ssim=0.978420, orig=2116808, zlib=87722, bz2=0, lzma=0, jpeg=323426
threshold=(40, 80), ssim=0.977363, orig=2116808, zlib=75575, bz2=0, lzma=0, jpeg=314795
threshold=(40, 90), ssim=0.976043, orig=2116808, zlib=62819, bz2=0, lzma=0, jpeg=304404
threshold=(40, 100), ssim=0.974317, orig=2116808, zlib=47042, bz2=0, lzma=0, jpeg=291482
threshold=(50, 50), ssim=0.976713, orig=2113536, zlib=103777, bz2=0, lzma=0, jpeg=334138
threshold=(50, 60), ssim=0.975886, orig=2113536, zlib=93751, bz2=0, lzma=0, jpeg=327509
threshold=(50, 70), ssim=0.974947, orig=2113536, zlib=84412, bz2=0, lzma=0, jpeg=320138
threshold=(50, 80), ssim=0.973890, orig=2113536, zlib=72053, bz2=0, lzma=0, jpeg=311624
threshold=(50, 90), ssim=0.972570, orig=2113536, zlib=58529, bz2=0, lzma=0, jpeg=301380
threshold=(50, 100), ssim=0.970849, orig=2113536, zlib=43344, bz2=0, lzma=0, jpeg=288630
threshold=(60, 60), ssim=0.972528, orig=2110256, zlib=89558, bz2=0, lzma=0, jpeg=323666
threshold=(60, 70), ssim=0.971596, orig=2110256, zlib=80712, bz2=0, lzma=0, jpeg=316584
threshold=(60, 80), ssim=0.970542, orig=2110256, zlib=68392, bz2=0, lzma=0, jpeg=308247
threshold=(60, 90), ssim=0.969223, orig=2110256, zlib=55439, bz2=0, lzma=0, jpeg=298168
threshold=(60, 100), ssim=0.967500, orig=2110256, zlib=39113, bz2=0, lzma=0, jpeg=285596
threshold=(70, 70), ssim=0.969162, orig=2106984, zlib=75483, bz2=0, lzma=0, jpeg=312613
threshold=(70, 80), ssim=0.968113, orig=2106984, zlib=63935, bz2=0, lzma=0, jpeg=304606
threshold=(70, 90), ssim=0.966790, orig=2106984, zlib=51709, bz2=0, lzma=0, jpeg=294730
threshold=(70, 100), ssim=0.965075, orig=2106984, zlib=33976, bz2=0, lzma=0, jpeg=282350
threshold=(80, 80), ssim=0.964241, orig=2103704, zlib=59453, bz2=0, lzma=0, jpeg=300290
threshold=(80, 90), ssim=0.962928, orig=2103704, zlib=46324, bz2=0, lzma=0, jpeg=290878
threshold=(80, 100), ssim=0.961223, orig=2103704, zlib=30293, bz2=0, lzma=0, jpeg=278727
threshold=(90, 90), ssim=0.958204, orig=2100432, zlib=39227, bz2=0, lzma=0, jpeg=286091
threshold=(90, 100), ssim=0.956521, orig=2100432, zlib=25037, bz2=0, lzma=0, jpeg=274439
threshold=(100, 100), ssim=0.949786, orig=2097152, zlib=16068, bz2=0, lzma=0, jpeg=267795
