threshold=(0, 0), ssim=0.976448, orig=2129912, zlib=193747, bz2=0, lzma=0, jpeg=404896
threshold=(0, 10), ssim=0.975551, orig=2129912, zlib=186423, bz2=0, lzma=0, jpeg=399184
threshold=(0, 20), ssim=0.973475, orig=2129912, zlib=178337, bz2=0, lzma=0, jpeg=391805
threshold=(0, 30), ssim=0.970560, orig=2129912, zlib=167911, bz2=0, lzma=0, jpeg=383416
threshold=(0, 40), ssim=0.966869, orig=2129912, zlib=156375, bz2=0, lzma=0, jpeg=374084
threshold=(0, 50), ssim=0.962766, orig=2129912, zlib=143959, bz2=0, lzma=0, jpeg=364018
threshold=(0, 60), ssim=0.958589, orig=2129912, zlib=130686, bz2=0, lzma=0, jpeg=353177
threshold=(0, 70), ssim=0.954586, orig=2129912, zlib=115392, bz2=0, lzma=0, jpeg=342409
threshold=(0, 80), ssim=0.950789, orig=2129912, zlib=101939, bz2=0, lzma=0, jpeg=331661
threshold=(0, 90), ssim=0.946782, orig=2129912, zlib=86652, bz2=0, lzma=0, jpeg=319120
threshold=(0, 100), ssim=0.943120, orig=2129912, zlib=68277, bz2=0, lzma=0, jpeg=304756
threshold=(10, 10), ssim=0.974664, orig=2126640, zlib=184710, bz2=0, lzma=0, jpeg=395854
threshold=(10, 20), ssim=0.972628, orig=2126640, zlib=176630, bz2=0, lzma=0, jpeg=388719
threshold=(10, 30), ssim=0.969735, orig=2126640, zlib=166075, bz2=0, lzma=0, jpeg=380417
threshold=(10, 40), ssim=0.966062, orig=2126640, zlib=154724, bz2=0, lzma=0, jpeg=371198
threshold=(10, 50), ssim=0.961970, orig=2126640, zlib=142193, bz2=0, lzma=0, jpeg=361205
threshold=(10, 60), ssim=0.957805, orig=2126640, zlib=129162, bz2=0, lzma=0, jpeg=350421
threshold=(10, 70), ssim=0.953814, orig=2126640, zlib=113523, bz2=0, lzma=0, jpeg=339764
threshold=(10, 80), ssim=0.950029, orig=2126640, zlib=100300, bz2=0, lzma=0, jpeg=329092
threshold=(10, 90), ssim=0.946030, orig=2126640, zlib=84847, bz2=0, lzma=0, jpeg=316667
threshold=(10, 100), ssim=0.942372, orig=2126640, zlib=66099, bz2=0, lzma=0, jpeg=302417
threshold=(20, 20), ssim=0.970553, orig=2123360, zlib=173120, bz2=0, lzma=0, jpeg=385179
threshold=(20, 30), ssim=0.967730, orig=2123360, zlib=163108, bz2=0, lzma=0, jpeg=377157
threshold=(20, 40), ssim=0.964089, orig=2123360, zlib=152128, bz2=0, lzma=0, jpeg=368060
threshold=(20, 50), ssim=0.960013, orig=2123360, zlib=139431, bz2=0, lzma=0, jpeg=358186
threshold=(20, 60), ssim=0.955861, orig=2123360, zlib=126341, bz2=0, lzma=0, jpeg=347536
threshold=(20, 70), ssim=0.951880, orig=2123360, zlib=110900, bz2=0, lzma=0, jpeg=336963
threshold=(20, 80), ssim=0.948107, orig=2123360, zlib=97316, bz2=0, lzma=0, jpeg=326368
threshold=(20, 90), ssim=0.944114, orig=2123360, zlib=82038, bz2=0, lzma=0, jpeg=314028
threshold=(20, 100), ssim=0.940461, orig=2123360, zlib=63195, bz2=0, lzma=0, jpeg=299894
threshold=(30, 30), ssim=0.964726, orig=2120088, zlib=158477, bz2=0, lzma=0, jpeg=373512
threshold=(30, 40), ssim=0.961122, orig=2120088, zlib=148601, bz2=0, lzma=0, jpeg=364729
threshold=(30, 50), ssim=0.957076, orig=2120088, zlib=135697, bz2=0, lzma=0, jpeg=355031
threshold=(30, 60), ssim=0.952946, orig=2120088, zlib=122838, bz2=0, lzma=0, jpeg=344536
threshold=(30, 70), ssim=0.948974, orig=2120088, zlib=107967, bz2=0, lzma=0, jpeg=334057
threshold=(30, 80), ssim=0.945222, orig=2120088, zlib=93811, bz2=0, lzma=0, jpeg=323556
threshold=(30, 90), ssim=0.941241, orig=2120088, zlib=78765, bz2=0, lzma=0, jpeg=311308
threshold=(30, 100), ssim=0.937593, orig=2120088, zlib=59912, bz2=0, lzma=0, jpeg=297266
threshold=(40, 40), ssim=0.957042, orig=2116808, zlib=143537, bz2=0, lzma=0, jpeg=360979
threshold=(40, 50), ssim=0.953037, orig=2116808, zlib=131155, bz2=0, lzma=0, jpeg=351645
threshold=(40, 60), ssim=0.948932, orig=2116808, zlib=119332, bz2=0, lzma=0, jpeg=341313
threshold=(40, 70), ssim=0.944977, orig=2116808, zlib=104110, bz2=0, lzma=0, jpeg=330980
