threshold=(0, 0), ssim=0.964689, orig=2129352, zlib=261731, bz2=0, lzma=0, jpeg=453818
threshold=(0, 10), ssim=0.964605, orig=2129352, zlib=261496, bz2=0, lzma=0, jpeg=449511
threshold=(0, 20), ssim=0.964452, orig=2129352, zlib=259966, bz2=0, lzma=0, jpeg=443764
threshold=(0, 30), ssim=0.964286, orig=2129352, zlib=257919, bz2=0, lzma=0, jpeg=437362
threshold=(0, 40), ssim=0.963936, orig=2129352, zlib=254349, bz2=0, lzma=0, jpeg=429299
threshold=(0, 50), ssim=0.961774, orig=2129352, zlib=240795, bz2=0, lzma=0, jpeg=418158
threshold=(0, 60), ssim=0.952307, orig=2129352, zlib=218393, bz2=0, lzma=0, jpeg=403047
threshold=(0, 70), ssim=0.941102, orig=2129352, zlib=194166, bz2=0, lzma=0, jpeg=386254
threshold=(0, 80), ssim=0.929478, orig=2129352, zlib=166343, bz2=0, lzma=0, jpeg=367236
threshold=(0, 90), ssim=0.919620, orig=2129352, zlib=139128, bz2=0, lzma=0, jpeg=347290
threshold=(0, 100), ssim=0.911681, orig=2129352, zlib=109945, bz2=0, lzma=0, jpeg=325913
threshold=(10, 10), ssim=0.964131, orig=2126608, zlib=260508, bz2=0, lzma=0, jpeg=447232
threshold=(10, 20), ssim=0.964023, orig=2126608, zlib=259136, bz2=0, lzma=0, jpeg=441723
threshold=(10, 30), ssim=0.963881, orig=2126608, zlib=257699, bz2=0, lzma=0, jpeg=435458
threshold=(10, 40), ssim=0.963543, orig=2126608, zlib=253725, bz2=0, lzma=0, jpeg=427479
threshold=(10, 50), ssim=0.961384, orig=2126608, zlib=239975, bz2=0, lzma=0, jpeg=416429
threshold=(10, 60), ssim=0.951917, orig=2126608, zlib=217475, bz2=0, lzma=0, jpeg=401356
threshold=(10, 70), ssim=0.940712, orig=2126608, zlib=193835, bz2=0, lzma=0, jpeg=384560
threshold=(10, 80), ssim=0.929087, orig=2126608, zlib=165986, bz2=0, lzma=0, jpeg=365448
threshold=(10, 90), ssim=0.919230, orig=2126608, zlib=138831, bz2=0, lzma=0, jpeg=345566
threshold=(10, 100), ssim=0.911290, orig=2126608, zlib=109678, bz2=0, lzma=0, jpeg=324165
threshold=(20, 20), ssim=0.963868, orig=2123336, zlib=258317, bz2=0, lzma=0, jpeg=439009
threshold=(20, 30), ssim=0.963769, orig=2123336, zlib=257211, bz2=0, lzma=0, jpeg=432968
threshold=(20, 40), ssim=0.963452, orig=2123336, zlib=252718, bz2=0, lzma=0, jpeg=425195
threshold=(20, 50), ssim=0.961296, orig=2123336, zlib=238721, bz2=0, lzma=0, jpeg=414204
threshold=(20, 60), ssim=0.951829, orig=2123336, zlib=216855, bz2=0, lzma=0, jpeg=399147
threshold=(20, 70), ssim=0.940623, orig=2123336, zlib=193007, bz2=0, lzma=0, jpeg=382256
threshold=(20, 80), ssim=0.928999, orig=2123336, zlib=165566, bz2=0, lzma=0, jpeg=363175
threshold=(20, 90), ssim=0.919141, orig=2123336, zlib=137911, bz2=0, lzma=0, jpeg=343323
threshold=(20, 100), ssim=0.911202, orig=2123336, zlib=108860, bz2=0, lzma=0, jpeg=321961
threshold=(30, 30), ssim=0.963735, orig=2120088, zlib=255840, bz2=0, lzma=0, jpeg=430168
threshold=(30, 40), ssim=0.963453, orig=2120088, zlib=251495, bz2=0, lzma=0, jpeg=422679
threshold=(30, 50), ssim=0.961313, orig=2120088, zlib=237293, bz2=0, lzma=0, jpeg=411783
threshold=(30, 60), ssim=0.951851, orig=2120088, zlib=215980, bz2=0, lzma=0, jpeg=396772
threshold=(30, 70), ssim=0.940646, orig=2120088, zlib=191829, bz2=0, lzma=0, jpeg=379758
threshold=(30, 80), ssim=0.929022, orig=2120088, zlib=164354, bz2=0, lzma=0, jpeg=360703
threshold=(30, 90), ssim=0.919164, orig=2120088, zlib=136648, bz2=0, lzma=0, jpeg=340890
threshold=(30, 100), ssim=0.911225, orig=2120088, zlib=107656, bz2=0, lzma=0, jpeg=319529
threshold=(40, 40), ssim=0.963286, orig=2116808, zlib=249553, bz2=0, lzma=0, jpeg=419841
threshold=(40, 50), ssim=0.961208, orig=2116808, zlib=235437, bz2=0, lzma=0, jpeg=409133
threshold=(40, 60), ssim=0.951749, orig=2116808, zlib=214433, bz2=0, lzma=0, jpeg=394024
threshold=(40, 70), ssim=0.940549, orig=2116808, zlib=189981, bz2=0, lzma=0, jpeg=377029
threshold=(40, 80), ssim=0.928926, orig=2116808, zlib=162654, bz2=0, lzma=0, jpeg=358007
threshold=(40, 90), ssim=0.919068, orig=2116808, zlib=134589, bz2=0, lzma=0, jpeg=338206
threshold=(40, 100), ssim=0.911130, orig=2116808, zlib=105652, bz2=0, lzma=0, jpeg=316792
threshold=(50, 50), ssim=0.958674, orig=2113536, zlib=231462, bz2=0, lzma=0, jpeg=405689
threshold=(50, 60), ssim=0.949235, orig=2113536, zlib=210114, bz2=0, lzma=0, jpeg=390653
threshold=(50, 70), ssim=0.938037, orig=2113536, zlib=185374, bz2=0, lzma=0, jpeg=373693
