threshold=(0, 0), ssim=0.963918, orig=2129912, zlib=418918, bz2=0, lzma=0, jpeg=561476
threshold=(0, 10), ssim=0.963797, orig=2129912, zlib=418071, bz2=0, lzma=0, jpeg=554034
threshold=(0, 20), ssim=0.963731, orig=2129912, zlib=415980, bz2=0, lzma=0, jpeg=546248
threshold=(0, 30), ssim=0.963671, orig=2129912, zlib=413034, bz2=0, lzma=0, jpeg=538232
threshold=(0, 40), ssim=0.961340, orig=2129912, zlib=401680, bz2=0, lzma=0, jpeg=527715
threshold=(0, 50), ssim=0.951254, orig=2129912, zlib=375289, bz2=0, lzma=0, jpeg=510833
threshold=(0, 60), ssim=0.938099, orig=2129912, zlib=346634, bz2=0, lzma=0, jpeg=490262
threshold=(0, 70), ssim=0.925344, orig=2129912, zlib=313150, bz2=0, lzma=0, jpeg=466304
threshold=(0, 80), ssim=0.914317, orig=2129912, zlib=277542, bz2=0, lzma=0, jpeg=439276
threshold=(0, 90), ssim=0.904135, orig=2129912, zlib=240099, bz2=0, lzma=0, jpeg=409246
threshold=(0, 100), ssim=0.895177, orig=2129912, zlib=200712, bz2=0, lzma=0, jpeg=375939
threshold=(10, 10), ssim=0.963436, orig=2126640, zlib=417113, bz2=0, lzma=0, jpeg=551513
threshold=(10, 20), ssim=0.963392, orig=2126640, zlib=415158, bz2=0, lzma=0, jpeg=543828
threshold=(10, 30), ssim=0.963346, orig=2126640, zlib=413006, bz2=0, lzma=0, jpeg=535838
threshold=(10, 40), ssim=0.961017, orig=2126640, zlib=400940, bz2=0, lzma=0, jpeg=525150
threshold=(10, 50), ssim=0.950931, orig=2126640, zlib=375006, bz2=0, lzma=0, jpeg=508213
threshold=(10, 60), ssim=0.937776, orig=2126640, zlib=346018, bz2=0, lzma=0, jpeg=487640
threshold=(10, 70), ssim=0.925022, orig=2126640, zlib=312999, bz2=0, lzma=0, jpeg=463683
threshold=(10, 80), ssim=0.913994, orig=2126640, zlib=277086, bz2=0, lzma=0, jpeg=436654
threshold=(10, 90), ssim=0.903812, orig=2126640, zlib=239576, bz2=0, lzma=0, jpeg=406639
threshold=(10, 100), ssim=0.894854, orig=2126640, zlib=200431, bz2=0, lzma=0, jpeg=373302
threshold=(20, 20), ssim=0.963161, orig=2123352, zlib=414118, bz2=0, lzma=0, jpeg=541262
threshold=(20, 30), ssim=0.963131, orig=2123352, zlib=412666, bz2=0, lzma=0, jpeg=533271
threshold=(20, 40), ssim=0.960809, orig=2123352, zlib=400017, bz2=0, lzma=0, jpeg=522562
threshold=(20, 50), ssim=0.950723, orig=2123352, zlib=374509, bz2=0, lzma=0, jpeg=505594
threshold=(20, 60), ssim=0.937568, orig=2123352, zlib=345018, bz2=0, lzma=0, jpeg=484988
threshold=(20, 70), ssim=0.924814, orig=2123352, zlib=311764, bz2=0, lzma=0, jpeg=461039
threshold=(20, 80), ssim=0.913786, orig=2123352, zlib=276151, bz2=0, lzma=0, jpeg=434024
threshold=(20, 90), ssim=0.903604, orig=2123352, zlib=238561, bz2=0, lzma=0, jpeg=404001
threshold=(20, 100), ssim=0.894646, orig=2123352, zlib=199629, bz2=0, lzma=0, jpeg=370623
threshold=(30, 30), ssim=0.963105, orig=2120088, zlib=411703, bz2=0, lzma=0, jpeg=530650
threshold=(30, 40), ssim=0.960792, orig=2120088, zlib=398914, bz2=0, lzma=0, jpeg=519978
