threshold=(0, 0), ssim=0.959156, orig=2129912, zlib=403450, bz2=0, lzma=0, jpeg=521211
threshold=(0, 10), ssim=0.958662, orig=2129912, zlib=397596, bz2=0, lzma=0, jpeg=513262
threshold=(0, 20), ssim=0.955002, orig=2129912, zlib=379049, bz2=0, lzma=0, jpeg=502292
threshold=(0, 30), ssim=0.949499, orig=2129912, zlib=358680, bz2=0, lzma=0, jpeg=489690
threshold=(0, 40), ssim=0.941872, orig=2129912, zlib=336878, bz2=0, lzma=0, jpeg=475114
threshold=(0, 50), ssim=0.932904, orig=2129912, zlib=313626, bz2=0, lzma=0, jpeg=458824
threshold=(0, 60), ssim=0.923200, orig=2129912, zlib=288600, bz2=0, lzma=0, jpeg=440854
threshold=(0, 70), ssim=0.914093, orig=2129912, zlib=262042, bz2=0, lzma=0, jpeg=422034
threshold=(0, 80), ssim=0.904766, orig=2129912, zlib=233064, bz2=0, lzma=0, jpeg=401936
threshold=(0, 90), ssim=0.895908, orig=2129912, zlib=203494, bz2=0, lzma=0, jpeg=380471
threshold=(0, 100), ssim=0.888657, orig=2129912, zlib=171848, bz2=0, lzma=0, jpeg=355313
threshold=(10, 10), ssim=0.958361, orig=2126640, zlib=395960, bz2=0, lzma=0, jpeg=510554
threshold=(10, 20), ssim=0.954725, orig=2126640, zlib=377564, bz2=0, lzma=0, jpeg=499670
threshold=(10, 30), ssim=0.949228, orig=2126640, zlib=357162, bz2=0, lzma=0, jpeg=486997
threshold=(10, 40), ssim=0.941611, orig=2126640, zlib=335387, bz2=0, lzma=0, jpeg=472427
threshold=(10, 50), ssim=0.932645, orig=2126640, zlib=311781, bz2=0, lzma=0, jpeg=456155
threshold=(10, 60), ssim=0.922950, orig=2126640, zlib=286446, bz2=0, lzma=0, jpeg=438207
threshold=(10, 70), ssim=0.913853, orig=2126640, zlib=260017, bz2=0, lzma=0, jpeg=419424
threshold=(10, 80), ssim=0.904533, orig=2126640, zlib=230721, bz2=0, lzma=0, jpeg=399372
threshold=(10, 90), ssim=0.895684, orig=2126640, zlib=201176, bz2=0, lzma=0, jpeg=377922
threshold=(10, 100), ssim=0.888434, orig=2126640, zlib=169587, bz2=0, lzma=0, jpeg=352689
threshold=(20, 20), ssim=0.952142, orig=2123360, zlib=373009, bz2=0, lzma=0, jpeg=496191
threshold=(20, 30), ssim=0.946702, orig=2123360, zlib=353006, bz2=0, lzma=0, jpeg=483555
threshold=(20, 40), ssim=0.939091, orig=2123360, zlib=330976, bz2=0, lzma=0, jpeg=469044
threshold=(20, 50), ssim=0.930141, orig=2123360, zlib=307670, bz2=0, lzma=0, jpeg=452807
threshold=(20, 60), ssim=0.920457, orig=2123360, zlib=281970, bz2=0, lzma=0, jpeg=434913
threshold=(20, 70), ssim=0.911365, orig=2123360, zlib=255631, bz2=0, lzma=0, jpeg=416168
threshold=(20, 80), ssim=0.902045, orig=2123360, zlib=226495, bz2=0, lzma=0, jpeg=396135
