threshold=(0, 0), ssim=0.970890, orig=2123096, zlib=346551, bz2=0, lzma=0, jpeg=484944
threshold=(0, 10), ssim=0.970890, orig=2123096, zlib=346551, bz2=0, lzma=0, jpeg=484944
threshold=(0, 20), ssim=0.970890, orig=2123096, zlib=346551, bz2=0, lzma=0, jpeg=484944
threshold=(0, 30), ssim=0.970732, orig=2123096, zlib=342399, bz2=0, lzma=0, jpeg=476958
threshold=(0, 40), ssim=0.967085, orig=2123096, zlib=326250, bz2=0, lzma=0, jpeg=465734
threshold=(0, 50), ssim=0.960593, orig=2123096, zlib=304483, bz2=0, lzma=0, jpeg=451476
threshold=(0, 60), ssim=0.952561, orig=2123096, zlib=280017, bz2=0, lzma=0, jpeg=434113
threshold=(0, 70), ssim=0.943623, orig=2123096, zlib=251628, bz2=0, lzma=0, jpeg=414141
threshold=(0, 80), ssim=0.935839, orig=2123096, zlib=221840, bz2=0, lzma=0, jpeg=393122
threshold=(0, 90), ssim=0.929035, orig=2123096, zlib=191291, bz2=0, lzma=0, jpeg=371243
threshold=(0, 100), ssim=0.923212, orig=2123096, zlib=160366, bz2=0, lzma=0, jpeg=348364
threshold=(10, 10), ssim=0.970890, orig=2123096, zlib=346551, bz2=0, lzma=0, jpeg=484944
threshold=(10, 20), ssim=0.970890, orig=2123096, zlib=346551, bz2=0, lzma=0, jpeg=484944
threshold=(10, 30), ssim=0.970732, orig=2123096, zlib=342399, bz2=0, lzma=0, jpeg=476958
threshold=(10, 40), ssim=0.967085, orig=2123096, zlib=326250, bz2=0, lzma=0, jpeg=465734
threshold=(10, 50), ssim=0.960593, orig=2123096, zlib=304483, bz2=0, lzma=0, jpeg=451476
threshold=(10, 60), ssim=0.952561, orig=2123096, zlib=280017, bz2=0, lzma=0, jpeg=434113
threshold=(10, 70), ssim=0.943623, orig=2123096, zlib=251628, bz2=0, lzma=0, jpeg=414141
threshold=(10, 80), ssim=0.935839, orig=2123096, zlib=221840, bz2=0, lzma=0, jpeg=393122
threshold=(10, 90), ssim=0.929035, orig=2123096, zlib=191291, bz2=0, lzma=0, jpeg=371243
threshold=(10, 100), ssim=0.923212, orig=2123096, zlib=160366, bz2=0, lzma=0, jpeg=348364
threshold=(20, 20), ssim=0.970890, orig=2123096, zlib=346551, bz2=0, lzma=0, jpeg=484944
threshold=(20, 30), ssim=0.970732, orig=2123096, zlib=342399, bz2=0, lzma=0, jpeg=476958
threshold=(20, 40), ssim=0.967085, orig=2123096, zlib=326250, bz2=0, lzma=0, jpeg=465734
