threshold=(0, 0), ssim=0.965463, orig=2129912, zlib=266030, bz2=0, lzma=0, jpeg=459448
threshold=(0, 10), ssim=0.965367, orig=2129912, zlib=265659, bz2=0, lzma=0, jpeg=454171
threshold=(0, 20), ssim=0.965279, orig=2129912, zlib=264141, bz2=0, lzma=0, jpeg=448081
threshold=(0, 30), ssim=0.965213, orig=2129912, zlib=261393, bz2=0, lzma=0, jpeg=441710
threshold=(0, 40), ssim=0.965040, orig=2129912, zlib=257709, bz2=0, lzma=0, jpeg=435357
threshold=(0, 50), ssim=0.959306, orig=2129912, zlib=239360, bz2=0, lzma=0, jpeg=422753
threshold=(0, 60), ssim=0.949903, orig=2129912, zlib=217522, bz2=0, lzma=0, jpeg=406378
threshold=(0, 70), ssim=0.939308, orig=2129912, zlib=194457, bz2=0, lzma=0, jpeg=388576
threshold=(0, 80), ssim=0.928283, orig=2129912, zlib=168236, bz2=0, lzma=0, jpeg=369026
threshold=(0, 90), ssim=0.918736, orig=2129912, zlib=141562, bz2=0, lzma=0, jpeg=348161
threshold=(0, 100), ssim=0.911374, orig=2129912, zlib=113573, bz2=0, lzma=0, jpeg=326086
threshold=(10, 10), ssim=0.964659, orig=2126640, zlib=264647, bz2=0, lzma=0, jpeg=451056
threshold=(10, 20), ssim=0.964620, orig=2126640, zlib=263491, bz2=0, lzma=0, jpeg=445312
threshold=(10, 30), ssim=0.964577, orig=2126640, zlib=260575, bz2=0, lzma=0, jpeg=439108
threshold=(10, 40), ssim=0.964405, orig=2126640, zlib=257525, bz2=0, lzma=0, jpeg=432811
threshold=(10, 50), ssim=0.958674, orig=2126640, zlib=238350, bz2=0, lzma=0, jpeg=420286
threshold=(10, 60), ssim=0.949272, orig=2126640, zlib=217299, bz2=0, lzma=0, jpeg=404047
threshold=(10, 70), ssim=0.938677, orig=2126640, zlib=194164, bz2=0, lzma=0, jpeg=386313
threshold=(10, 80), ssim=0.927653, orig=2126640, zlib=167776, bz2=0, lzma=0, jpeg=366740
threshold=(10, 90), ssim=0.918106, orig=2126640, zlib=141212, bz2=0, lzma=0, jpeg=345956
threshold=(10, 100), ssim=0.910744, orig=2126640, zlib=113198, bz2=0, lzma=0, jpeg=323966
threshold=(20, 20), ssim=0.964398, orig=2123328, zlib=261917, bz2=0, lzma=0, jpeg=442175
threshold=(20, 30), ssim=0.964377, orig=2123328, zlib=259995, bz2=0, lzma=0, jpeg=436300
threshold=(20, 40), ssim=0.964219, orig=2123328, zlib=256992, bz2=0, lzma=0, jpeg=430097
threshold=(20, 50), ssim=0.958490, orig=2123328, zlib=237781, bz2=0, lzma=0, jpeg=417688
threshold=(20, 60), ssim=0.949088, orig=2123328, zlib=216683, bz2=0, lzma=0, jpeg=401514
threshold=(20, 70), ssim=0.938494, orig=2123328, zlib=193459, bz2=0, lzma=0, jpeg=383931
threshold=(20, 80), ssim=0.927470, orig=2123328, zlib=166761, bz2=0, lzma=0, jpeg=364337
threshold=(20, 90), ssim=0.917924, orig=2123328, zlib=140398, bz2=0, lzma=0, jpeg=343616
threshold=(20, 100), ssim=0.910563, orig=2123328, zlib=112455, bz2=0, lzma=0, jpeg=321687
threshold=(30, 30), ssim=0.964514, orig=2120032, zlib=259146, bz2=0, lzma=0, jpeg=433123
threshold=(30, 40), ssim=0.964375, orig=2120032, zlib=256037, bz2=0, lzma=0, jpeg=427213
threshold=(30, 50), ssim=0.958647, orig=2120032, zlib=237016, bz2=0, lzma=0, jpeg=414915
threshold=(30, 60), ssim=0.949247, orig=2120032, zlib=215625, bz2=0, lzma=0, jpeg=398890
threshold=(30, 70), ssim=0.938654, orig=2120032, zlib=192237, bz2=0, lzma=0, jpeg=381380
threshold=(30, 80), ssim=0.927631, orig=2120032, zlib=165167, bz2=0, lzma=0, jpeg=361821
threshold=(30, 90), ssim=0.918087, orig=2120032, zlib=139053, bz2=0, lzma=0, jpeg=341210
threshold=(30, 100), ssim=0.910727, orig=2120032, zlib=111204, bz2=0, lzma=0, jpeg=319286
threshold=(40, 40), ssim=0.964380, orig=2116808, zlib=254197, bz2=0, lzma=0, jpeg=424057
threshold=(40, 50), ssim=0.958665, orig=2116808, zlib=235241, bz2=0, lzma=0, jpeg=412060
threshold=(40, 60), ssim=0.949269, orig=2116808, zlib=213658, bz2=0, lzma=0, jpeg=396218
threshold=(40, 70), ssim=0.938680, orig=2116808, zlib=190108, bz2=0, lzma=0, jpeg=378809
threshold=(40, 80), ssim=0.927660, orig=2116808, zlib=163233, bz2=0, lzma=0, jpeg=359263
threshold=(40, 90), ssim=0.918119, orig=2116808, zlib=136822, bz2=0, lzma=0, jpeg=338773
threshold=(40, 100), ssim=0.910759, orig=2116808, zlib=109029, bz2=0, lzma=0, jpeg=316879
threshold=(50, 50), ssim=0.952261, orig=2113536, zlib=229465, bz2=0, lzma=0, jpeg=407766
threshold=(50, 60), ssim=0.942862, orig=2113536, zlib=206753, bz2=0, lzma=0, jpeg=392209
threshold=(50, 70), ssim=0.932275, orig=2113536, zlib=182991, bz2=0, lzma=0, jpeg=374925
threshold=(50, 80), ssim=0.921260, orig=2113536, zlib=156355, bz2=0, lzma=0, jpeg=355520
threshold=(50, 90), ssim=0.911721, orig=2113536, zlib=129685, bz2=0, lzma=0, jpeg=335070
threshold=(50, 100), ssim=0.904376, orig=2113536, zlib=101447, bz2=0, lzma=0, jpeg=313232
threshold=(60, 60), ssim=0.927250, orig=2110256, zlib=197220, bz2=0, lzma=0, jpeg=386193
threshold=(60, 70), ssim=0.916557, orig=2110256, zlib=173493, bz2=0, lzma=0, jpeg=369212
