threshold=(0, 0), ssim=0.987179, orig=2129912, zlib=239124, bz2=0, lzma=0, jpeg=425560
threshold=(0, 10), ssim=0.986534, orig=2129912, zlib=230697, bz2=0, lzma=0, jpeg=418293
threshold=(0, 20), ssim=0.985389, orig=2129912, zlib=220942, bz2=0, lzma=0, jpeg=410286
threshold=(0, 30), ssim=0.984036, orig=2129912, zlib=209012, bz2=0, lzma=0, jpeg=401500
threshold=(0, 40), ssim=0.982389, orig=2129912, zlib=196287, bz2=0, lzma=0, jpeg=391815
threshold=(0, 50), ssim=0.980563, orig=2129912, zlib=182227, bz2=0, lzma=0, jpeg=381516
threshold=(0, 60), ssim=0.978711, orig=2129912, zlib=166885, bz2=0, lzma=0, jpeg=370245
threshold=(0, 70), ssim=0.976789, orig=2129912, zlib=149987, bz2=0, lzma=0, jpeg=358277
threshold=(0, 80), ssim=0.974964, orig=2129912, zlib=132453, bz2=0, lzma=0, jpeg=345850
threshold=(0, 90), ssim=0.973229, orig=2129912, zlib=113734, bz2=0, lzma=0, jpeg=332328
threshold=(0, 100), ssim=0.971552, orig=2129912, zlib=94925, bz2=0, lzma=0, jpeg=317892
threshold=(10, 10), ssim=0.985635, orig=2126640, zlib=228723, bz2=0, lzma=0, jpeg=415475
threshold=(10, 20), ssim=0.984539, orig=2126640, zlib=218852, bz2=0, lzma=0, jpeg=407468
threshold=(10, 30), ssim=0.983233, orig=2126640, zlib=207172, bz2=0, lzma=0, jpeg=398679
threshold=(10, 40), ssim=0.981609, orig=2126640, zlib=194212, bz2=0, lzma=0, jpeg=388994
threshold=(10, 50), ssim=0.979806, orig=2126640, zlib=180261, bz2=0, lzma=0, jpeg=378722
threshold=(10, 60), ssim=0.977969, orig=2126640, zlib=164971, bz2=0, lzma=0, jpeg=367579
threshold=(10, 70), ssim=0.976057, orig=2126640, zlib=147843, bz2=0, lzma=0, jpeg=355636
threshold=(10, 80), ssim=0.974236, orig=2126640, zlib=130758, bz2=0, lzma=0, jpeg=343281
threshold=(10, 90), ssim=0.972514, orig=2126640, zlib=112105, bz2=0, lzma=0, jpeg=329788
threshold=(10, 100), ssim=0.970845, orig=2126640, zlib=92093, bz2=0, lzma=0, jpeg=315388
threshold=(20, 20), ssim=0.982118, orig=2123360, zlib=214542, bz2=0, lzma=0, jpeg=404326
threshold=(20, 30), ssim=0.980853, orig=2123360, zlib=203564, bz2=0, lzma=0, jpeg=395543
threshold=(20, 40), ssim=0.979236, orig=2123360, zlib=190518, bz2=0, lzma=0, jpeg=385876
threshold=(20, 50), ssim=0.977451, orig=2123360, zlib=176388, bz2=0, lzma=0, jpeg=375616
threshold=(20, 60), ssim=0.975621, orig=2123360, zlib=161410, bz2=0, lzma=0, jpeg=364559
threshold=(20, 70), ssim=0.973714, orig=2123360, zlib=144155, bz2=0, lzma=0, jpeg=352644
threshold=(20, 80), ssim=0.971897, orig=2123360, zlib=127074, bz2=0, lzma=0, jpeg=340331
threshold=(20, 90), ssim=0.970186, orig=2123360, zlib=108701, bz2=0, lzma=0, jpeg=326907
threshold=(20, 100), ssim=0.968530, orig=2123360, zlib=88268, bz2=0, lzma=0, jpeg=312544
threshold=(30, 30), ssim=0.976955, orig=2120088, zlib=199030, bz2=0, lzma=0, jpeg=391863
threshold=(30, 40), ssim=0.975374, orig=2120088, zlib=185698, bz2=0, lzma=0, jpeg=382266
threshold=(30, 50), ssim=0.973610, orig=2120088, zlib=172115, bz2=0, lzma=0, jpeg=372044
threshold=(30, 60), ssim=0.971804, orig=2120088, zlib=156754, bz2=0, lzma=0, jpeg=361075
threshold=(30, 70), ssim=0.969904, orig=2120088, zlib=139966, bz2=0, lzma=0, jpeg=349204
threshold=(30, 80), ssim=0.968084, orig=2120088, zlib=122577, bz2=0, lzma=0, jpeg=336929
threshold=(30, 90), ssim=0.966387, orig=2120088, zlib=104224, bz2=0, lzma=0, jpeg=323587
threshold=(30, 100), ssim=0.964739, orig=2120088, zlib=83346, bz2=0, lzma=0, jpeg=309253
threshold=(40, 40), ssim=0.970857, orig=2116808, zlib=179368, bz2=0, lzma=0, jpeg=378159
threshold=(40, 50), ssim=0.969130, orig=2116808, zlib=167113, bz2=0, lzma=0, jpeg=368022
threshold=(40, 60), ssim=0.967339, orig=2116808, zlib=151409, bz2=0, lzma=0, jpeg=357138
threshold=(40, 70), ssim=0.965451, orig=2116808, zlib=135260, bz2=0, lzma=0, jpeg=345395
threshold=(40, 80), ssim=0.963633, orig=2116808, zlib=116900, bz2=0, lzma=0, jpeg=333166
threshold=(40, 90), ssim=0.961944, orig=2116808, zlib=99021, bz2=0, lzma=0, jpeg=319906
threshold=(40, 100), ssim=0.960312, orig=2116808, zlib=79096, bz2=0, lzma=0, jpeg=305623
