threshold=(0, 0), ssim=0.961504, orig=2129912, zlib=332922, bz2=0, lzma=0, jpeg=480307
threshold=(0, 10), ssim=0.961368, orig=2129912, zlib=329365, bz2=0, lzma=0, jpeg=475575
threshold=(0, 20), ssim=0.961290, orig=2129912, zlib=325043, bz2=0, lzma=0, jpeg=470209
threshold=(0, 30), ssim=0.961135, orig=2129912, zlib=318089, bz2=0, lzma=0, jpeg=463988
threshold=(0, 40), ssim=0.956631, orig=2129912, zlib=300433, bz2=0, lzma=0, jpeg=452953
threshold=(0, 50), ssim=0.949506, orig=2129912, zlib=279726, bz2=0, lzma=0, jpeg=439873
threshold=(0, 60), ssim=0.942097, orig=2129912, zlib=255672, bz2=0, lzma=0, jpeg=424003
threshold=(0, 70), ssim=0.934333, orig=2129912, zlib=231600, bz2=0, lzma=0, jpeg=406775
threshold=(0, 80), ssim=0.926857, orig=2129912, zlib=205104, bz2=0, lzma=0, jpeg=387963
threshold=(0, 90), ssim=0.918403, orig=2129912, zlib=175372, bz2=0, lzma=0, jpeg=366468
threshold=(0, 100), ssim=0.909327, orig=2129912, zlib=144395, bz2=0, lzma=0, jpeg=342116
threshold=(10, 10), ssim=0.960926, orig=2126632, zlib=328427, bz2=0, lzma=0, jpeg=472795
threshold=(10, 20), ssim=0.960851, orig=2126632, zlib=324394, bz2=0, lzma=0, jpeg=467814
threshold=(10, 30), ssim=0.960708, orig=2126632, zlib=317395, bz2=0, lzma=0, jpeg=461737
threshold=(10, 40), ssim=0.956204, orig=2126632, zlib=299786, bz2=0, lzma=0, jpeg=450728
threshold=(10, 50), ssim=0.949084, orig=2126632, zlib=278716, bz2=0, lzma=0, jpeg=437713
threshold=(10, 60), ssim=0.941674, orig=2126632, zlib=255006, bz2=0, lzma=0, jpeg=421916
threshold=(10, 70), ssim=0.933910, orig=2126632, zlib=230772, bz2=0, lzma=0, jpeg=404688
threshold=(10, 80), ssim=0.926438, orig=2126632, zlib=204032, bz2=0, lzma=0, jpeg=385837
threshold=(10, 90), ssim=0.917984, orig=2126632, zlib=174228, bz2=0, lzma=0, jpeg=364396
threshold=(10, 100), ssim=0.908908, orig=2126632, zlib=143271, bz2=0, lzma=0, jpeg=340103
threshold=(20, 20), ssim=0.960853, orig=2123360, zlib=323254, bz2=0, lzma=0, jpeg=465001
threshold=(20, 30), ssim=0.960723, orig=2123360, zlib=316519, bz2=0, lzma=0, jpeg=459279
threshold=(20, 40), ssim=0.956218, orig=2123360, zlib=298933, bz2=0, lzma=0, jpeg=448315
threshold=(20, 50), ssim=0.949098, orig=2123360, zlib=278021, bz2=0, lzma=0, jpeg=435360
threshold=(20, 60), ssim=0.941687, orig=2123360, zlib=253504, bz2=0, lzma=0, jpeg=419576
threshold=(20, 70), ssim=0.933923, orig=2123360, zlib=229197, bz2=0, lzma=0, jpeg=402337
